,product_line,RFM_Score ,prod_line_encoded
112,Standard,0.6,2
113,Touring,0.1,3
114,Standard,0.3,2
115,Standard,0.8,2
116,Standard,1.0,2
117,Standard,0.4,2
118,Road,0.5,1
119,Road,0.6,1
120,Road,0.7,1
121,Road,0.8,1
122,Standard,0.4,2
123,Standard,0.0,2
124,Standard,0.3,2
125,Standard,0.7,2
126,Standard,0.4,2
127,Touring,0.4,3
128,Standard,0.9,2
129,Standard,0.3,2
130,Standard,0.7,2
131,Standard,0.6,2
132,Road,0.6,1
133,Standard,0.0,2
134,Standard,0.1,2
135,Standard,0.4,2
136,Road,0.5,1
137,Standard,0.3,2
138,Standard,0.1,2
139,Standard,0.4,2
140,Standard,0.4,2
141,Standard,0.6,2
142,Standard,0.1,2
143,Standard,0.4,2
144,Standard,0.5,2
145,Standard,0.7,2
146,Road,0.6,1
147,Touring,0.9,3
148,Standard,0.9,2
149,Road,0.4,1
150,Road,0.8,1
151,Road,0.8,1
152,Road,0.7,1
153,Standard,0.7,2
154,Standard,0.4,2
155,Mountain,0.7,0
156,Standard,0.7,2
157,Standard,1.0,2
158,Standard,0.5,2
159,Touring,0.6,3
160,Standard,0.3,2
161,Mountain,0.4,0
162,Standard,0.5,2
163,Standard,0.7,2
164,Touring,0.9,3
165,Standard,0.7,2
166,Standard,0.4,2
167,Standard,0.6,2
168,Touring,0.6,3
169,Standard,0.1,2
170,Standard,0.6,2
171,Standard,0.4,2
172,Road,0.4,1
173,Standard,0.2,2
174,Standard,0.7,2
175,Standard,0.7,2
176,Road,0.5,1
177,Standard,1.0,2
178,Standard,0.6,2
179,Standard,0.7,2
180,Standard,0.7,2
181,Standard,0.3,2
182,Standard,0.3,2
183,Standard,0.8,2
184,Standard,0.4,2
185,Standard,0.2,2
186,Standard,0.0,2
187,Standard,0.3,2
188,Standard,0.6,2
189,Standard,0.5,2
190,Standard,0.6,2
191,Road,0.0,1
192,Standard,0.6,2
193,Standard,0.1,2
194,Standard,0.6,2
195,Standard,1.0,2
196,Standard,0.9,2
197,Standard,0.7,2
198,Road,0.2,1
199,Standard,0.2,2
200,Standard,0.4,2
201,Standard,0.7,2
202,Standard,0.4,2
203,Standard,0.6,2
204,Standard,0.8,2
205,Standard,0.5,2
206,Standard,0.0,2
207,Road,0.2,1
208,Standard,0.6,2
209,Standard,0.6,2
210,Standard,0.1,2
211,Standard,0.6,2
212,Standard,0.8,2
213,Road,0.9,1
214,Standard,0.3,2
215,Standard,0.7,2
216,Standard,0.7,2
217,Standard,0.0,2
218,Standard,0.0,2
219,Road,0.8,1
220,Standard,0.5,2
221,Standard,0.4,2
222,Road,1.0,1
223,Standard,0.5,2
224,Standard,0.7,2
225,Standard,0.8,2
226,Standard,0.6,2
227,Standard,0.4,2
228,Road,0.6,1
229,Standard,0.7,2
230,Road,0.8,1
231,Standard,0.3,2
232,Road,0.8,1
233,Road,0.1,1
234,Standard,0.9,2
235,Standard,0.5,2
236,Standard,0.4,2
237,Road,0.4,1
238,Standard,0.4,2
239,Standard,0.4,2
240,Standard,0.5,2
241,Touring,0.8,3
242,Road,0.6,1
243,Standard,0.6,2
244,Road,0.0,1
245,Standard,0.6,2
246,Road,0.7,1
247,Standard,0.5,2
248,Standard,0.4,2
249,Standard,0.7,2
250,Standard,0.9,2
251,Standard,0.7,2
252,Standard,0.1,2
253,Standard,0.4,2
254,Standard,0.3,2
255,Standard,0.7,2
256,Road,0.6,1
257,Standard,0.7,2
258,Standard,0.4,2
259,Touring,0.5,3
260,Standard,0.0,2
261,Road,0.7,1
262,Road,0.9,1
263,Standard,0.8,2
264,Road,0.5,1
265,Road,0.7,1
266,Standard,0.4,2
267,Road,0.9,1
268,Standard,0.7,2
269,Standard,0.3,2
270,Standard,1.0,2
271,Standard,0.3,2
272,Standard,0.1,2
273,Standard,0.3,2
274,Standard,0.8,2
275,Standard,0.2,2
276,Standard,0.6,2
277,Standard,0.9,2
278,Mountain,0.8,0
279,Road,0.7,1
280,Standard,0.6,2
281,Standard,0.9,2
282,Standard,0.8,2
283,Standard,0.3,2
284,Standard,0.3,2
285,Standard,0.6,2
286,Road,0.1,1
287,Standard,0.6,2
288,Road,0.9,1
289,Standard,0.4,2
290,Standard,0.9,2
291,Road,0.6,1
292,Standard,0.2,2
293,Road,0.5,1
294,Standard,1.0,2
295,Road,0.7,1
296,Standard,0.7,2
297,Standard,0.3,2
298,Standard,0.9,2
299,Standard,0.6,2
300,Standard,0.6,2
301,Road,0.9,1
302,Standard,0.6,2
303,Standard,0.7,2
304,Standard,0.6,2
305,Standard,0.7,2
306,Standard,0.8,2
307,Mountain,0.3,0
308,Road,0.8,1
309,Standard,0.9,2
310,Road,0.8,1
311,Road,0.4,1
312,Road,0.6,1
313,Road,0.7,1
314,Standard,0.3,2
315,Standard,0.6,2
316,Standard,0.8,2
317,Road,0.7,1
318,Standard,0.6,2
319,Standard,0.8,2
320,Standard,0.5,2
321,Standard,0.8,2
322,Standard,0.6,2
323,Standard,0.2,2
324,Touring,0.8,3
325,Standard,0.4,2
326,Road,0.5,1
327,Standard,0.4,2
328,Standard,0.0,2
329,Standard,0.9,2
330,Standard,0.9,2
331,Touring,0.6,3
332,Standard,0.8,2
333,Standard,0.7,2
334,Standard,0.5,2
335,Standard,0.5,2
336,Standard,0.5,2
337,Standard,0.6,2
338,Standard,0.6,2
339,Standard,0.8,2
340,Road,0.8,1
341,Standard,0.9,2
342,Mountain,0.5,0
343,Standard,0.8,2
344,Standard,0.0,2
345,Road,0.8,1
346,Touring,0.2,3
347,Standard,0.9,2
348,Standard,0.6,2
349,Road,0.7,1
350,Road,0.5,1
351,Standard,0.1,2
352,Standard,0.9,2
353,Road,0.4,1
354,Standard,0.3,2
355,Standard,0.2,2
356,Standard,0.9,2
357,Standard,0.9,2
358,Standard,0.5,2
359,Standard,0.7,2
360,Standard,0.3,2
361,Standard,0.3,2
362,Standard,0.7,2
363,Touring,0.3,3
364,Standard,0.5,2
365,Road,0.8,1
366,Standard,0.7,2
367,Standard,1.0,2
368,Standard,0.4,2
369,Standard,0.6,2
370,Road,0.8,1
371,Standard,0.6,2
372,Standard,0.7,2
373,Standard,0.5,2
374,Standard,0.9,2
375,Standard,0.1,2
376,Standard,0.5,2
377,Standard,0.9,2
378,Standard,0.6,2
379,Standard,0.1,2
380,Standard,0.8,2
381,Standard,0.4,2
382,Road,0.6,1
383,Standard,1.0,2
384,Standard,0.6,2
385,Standard,0.9,2
386,Standard,0.6,2
387,Standard,0.9,2
388,Standard,0.6,2
389,Road,0.6,1
390,Road,0.6,1
391,Standard,0.4,2
392,Standard,0.6,2
393,Standard,0.5,2
394,Standard,0.7,2
395,Standard,0.7,2
396,Standard,0.5,2
397,Standard,0.7,2
398,Standard,0.5,2
399,Road,0.3,1
400,Standard,0.5,2
401,Road,0.3,1
402,Touring,0.6,3
403,Standard,0.1,2
404,Standard,0.3,2
405,Standard,0.1,2
406,Standard,0.3,2
407,Standard,0.9,2
408,Standard,0.4,2
409,Road,0.8,1
410,Standard,0.1,2
411,Road,0.3,1
412,Standard,0.6,2
413,Touring,0.7,3
414,Standard,0.6,2
415,Standard,0.5,2
416,Touring,0.1,3
417,Standard,0.4,2
418,Road,0.8,1
419,Road,0.9,1
420,Road,0.8,1
421,Standard,0.6,2
422,Standard,1.0,2
423,Road,0.6,1
424,Touring,0.7,3
425,Standard,0.6,2
426,Standard,0.4,2
427,Road,0.4,1
428,Standard,0.9,2
429,Road,0.4,1
430,Standard,0.3,2
431,Standard,0.8,2
432,Standard,0.4,2
433,Standard,0.3,2
434,Standard,0.6,2
435,Standard,0.3,2
436,Road,0.6,1
437,Standard,0.5,2
438,Road,0.3,1
439,Standard,0.7,2
440,Standard,0.3,2
441,Standard,0.5,2
442,Standard,1.0,2
443,Standard,0.1,2
444,Standard,0.9,2
445,Standard,0.4,2
446,Standard,0.9,2
447,Road,1.0,1
448,Standard,0.0,2
449,Road,0.9,1
450,Standard,0.7,2
451,Standard,0.4,2
452,Standard,0.3,2
453,Standard,1.0,2
454,Standard,0.6,2
455,Road,0.8,1
456,Standard,0.4,2
457,Standard,0.7,2
458,Standard,0.5,2
459,Standard,0.7,2
460,Road,0.1,1
461,Standard,0.9,2
462,Standard,0.9,2
463,Standard,0.2,2
464,Standard,0.3,2
465,Road,0.4,1
466,Standard,0.1,2
467,Standard,0.8,2
468,Standard,0.7,2
469,Standard,0.5,2
470,Standard,0.2,2
471,Standard,0.4,2
472,Standard,0.2,2
473,Standard,0.6,2
474,Road,0.9,1
475,Standard,1.0,2
476,Mountain,0.5,0
477,Road,0.7,1
478,Standard,0.6,2
479,Standard,0.4,2
480,Mountain,0.3,0
481,Touring,0.3,3
482,Mountain,0.7,0
483,Road,0.1,1
484,Standard,0.0,2
485,Road,0.8,1
486,Standard,0.7,2
487,Standard,0.4,2
488,Standard,1.0,2
489,Road,0.4,1
490,Standard,0.8,2
491,Road,0.2,1
492,Standard,0.7,2
493,Standard,0.7,2
494,Road,0.5,1
495,Standard,0.9,2
496,Standard,0.6,2
497,Road,0.7,1
498,Standard,0.9,2
499,Standard,0.6,2
500,Road,0.8,1
501,Standard,0.9,2
502,Road,0.3,1
503,Touring,0.7,3
504,Standard,0.4,2
505,Standard,0.3,2
506,Standard,0.9,2
507,Standard,0.7,2
508,Standard,0.5,2
509,Standard,1.0,2
510,Standard,1.0,2
511,Road,0.7,1
512,Touring,0.6,3
513,Standard,0.9,2
514,Standard,0.7,2
515,Standard,0.8,2
516,Standard,0.6,2
517,Standard,0.7,2
518,Standard,0.7,2
519,Road,0.7,1
520,Standard,0.4,2
521,Standard,0.9,2
522,Standard,0.4,2
523,Standard,0.4,2
524,Touring,0.3,3
525,Road,0.3,1
526,Standard,0.5,2
527,Touring,0.7,3
528,Standard,0.4,2
529,Standard,0.8,2
530,Mountain,0.1,0
531,Standard,0.6,2
532,Standard,0.3,2
533,Standard,1.0,2
534,Standard,0.6,2
535,Touring,0.6,3
536,Standard,0.8,2
537,Standard,0.3,2
538,Road,0.3,1
539,Standard,0.4,2
540,Standard,0.4,2
541,Road,0.4,1
542,Standard,0.5,2
543,Standard,0.9,2
544,Standard,0.8,2
545,Standard,0.5,2
546,Standard,0.8,2
547,Standard,0.0,2
548,Standard,0.8,2
549,Standard,0.7,2
550,Touring,1.0,3
551,Road,0.7,1
552,Standard,0.5,2
553,Standard,1.0,2
554,Standard,0.5,2
555,Standard,0.8,2
556,Mountain,0.3,0
557,Standard,0.2,2
558,Standard,0.0,2
559,Standard,0.5,2
560,Standard,0.4,2
561,Standard,0.6,2
562,Standard,0.5,2
563,Standard,0.4,2
564,Standard,0.6,2
565,Standard,0.7,2
566,Standard,0.7,2
567,Touring,0.2,3
568,Standard,0.4,2
569,Touring,0.5,3
570,Standard,0.5,2
571,Standard,1.0,2
572,Standard,0.6,2
573,Standard,0.4,2
574,Standard,0.3,2
575,Standard,0.7,2
576,Standard,0.6,2
577,Standard,0.3,2
578,Standard,0.3,2
579,Standard,0.4,2
580,Standard,0.1,2
581,Standard,0.0,2
582,Road,0.7,1
583,Standard,0.7,2
584,Standard,0.1,2
585,Standard,0.4,2
586,Road,0.8,1
587,Standard,0.4,2
588,Road,0.0,1
589,Standard,0.3,2
590,Standard,0.9,2
591,Touring,0.7,3
592,Road,0.8,1
593,Standard,0.6,2
594,Road,0.4,1
595,Standard,0.7,2
596,Road,0.9,1
597,Standard,0.9,2
598,Standard,0.7,2
599,Standard,0.5,2
600,Standard,0.4,2
601,Road,0.3,1
602,Standard,0.6,2
603,Standard,0.6,2
604,Road,0.2,1
605,Road,0.3,1
606,Standard,1.0,2
607,Standard,0.1,2
608,Road,0.7,1
609,Standard,0.5,2
610,Mountain,0.8,0
611,Standard,0.6,2
612,Road,0.6,1
613,Touring,1.0,3
614,Standard,0.4,2
615,Standard,0.7,2
616,Road,0.8,1
617,Standard,0.8,2
618,Road,0.8,1
619,Road,0.8,1
620,Standard,0.6,2
621,Mountain,0.5,0
622,Standard,0.5,2
623,Touring,0.7,3
624,Road,0.5,1
625,Standard,0.5,2
626,Standard,0.3,2
627,Standard,0.5,2
628,Standard,0.2,2
629,Standard,0.1,2
630,Standard,0.5,2
631,Mountain,0.8,0
632,Road,0.6,1
633,Road,0.2,1
634,Standard,0.9,2
635,Standard,0.6,2
636,Road,0.3,1
637,Touring,0.5,3
638,Standard,0.6,2
639,Standard,1.0,2
640,Standard,0.4,2
641,Standard,0.1,2
642,Standard,0.4,2
643,Road,0.6,1
644,Standard,0.0,2
645,Standard,0.6,2
646,Standard,0.5,2
647,Standard,0.5,2
648,Road,0.6,1
649,Standard,0.3,2
650,Standard,1.0,2
651,Standard,0.4,2
652,Standard,0.1,2
653,Mountain,0.7,0
654,Mountain,0.4,0
655,Standard,0.1,2
656,Standard,0.8,2
657,Standard,0.8,2
658,Standard,0.7,2
659,Touring,0.7,3
660,Standard,0.6,2
661,Standard,1.0,2
662,Standard,0.1,2
663,Road,0.7,1
664,Standard,0.7,2
665,Road,0.3,1
666,Standard,0.8,2
667,Standard,0.6,2
668,Touring,0.1,3
669,Standard,0.7,2
670,Standard,0.5,2
671,Standard,0.9,2
672,Standard,0.9,2
673,Standard,0.7,2
674,Standard,0.3,2
675,Standard,0.7,2
676,Touring,1.0,3
677,Standard,0.4,2
678,Road,0.9,1
679,Standard,0.6,2
680,Road,0.4,1
681,Standard,0.6,2
682,Mountain,0.3,0
683,Road,0.8,1
684,Standard,0.7,2
685,Road,0.4,1
686,Standard,0.6,2
687,Standard,0.7,2
688,Standard,1.0,2
689,Standard,0.7,2
690,Standard,1.0,2
691,Standard,0.3,2
692,Standard,0.9,2
693,Standard,0.9,2
694,Road,0.5,1
695,Standard,0.7,2
696,Standard,0.3,2
697,Standard,0.3,2
698,Standard,0.5,2
699,Road,0.6,1
700,Standard,0.1,2
701,Standard,0.6,2
702,Road,0.8,1
703,Standard,0.7,2
704,Standard,0.5,2
705,Road,0.8,1
706,Standard,0.4,2
707,Standard,0.4,2
708,Standard,0.6,2
709,Standard,0.1,2
710,Road,0.8,1
711,Standard,0.6,2
712,Road,0.7,1
713,Road,0.3,1
714,Road,0.3,1
715,Standard,0.8,2
716,Standard,0.4,2
717,Road,0.7,1
718,Road,0.9,1
719,Standard,0.6,2
720,Standard,0.9,2
721,Road,0.4,1
722,Standard,0.7,2
723,Road,1.0,1
724,Road,0.9,1
725,Standard,0.8,2
726,Standard,0.0,2
727,Standard,0.6,2
728,Road,0.3,1
729,Standard,0.2,2
730,Touring,0.7,3
731,Standard,0.4,2
732,Touring,0.7,3
733,Standard,0.4,2
734,Standard,0.4,2
735,Standard,0.6,2
736,Standard,0.7,2
737,Touring,0.5,3
738,Standard,0.8,2
739,Road,0.4,1
740,Road,0.0,1
741,Standard,0.7,2
742,Road,0.5,1
743,Road,0.4,1
744,Standard,0.3,2
745,Standard,0.5,2
746,Standard,1.0,2
747,Standard,0.7,2
748,Standard,0.6,2
749,Road,0.2,1
750,Standard,0.4,2
751,Standard,0.4,2
752,Road,0.3,1
753,Touring,0.1,3
754,Standard,0.4,2
755,Road,0.7,1
756,Standard,0.7,2
757,Touring,0.3,3
758,Standard,0.5,2
759,Standard,0.5,2
760,Standard,0.8,2
761,Standard,0.8,2
762,Mountain,0.3,0
763,Touring,0.4,3
764,Standard,0.3,2
765,Mountain,0.3,0
766,Standard,0.4,2
767,Standard,0.5,2
768,Road,0.6,1
769,Standard,0.6,2
770,Road,0.3,1
771,Road,0.8,1
772,Standard,0.1,2
773,Standard,0.9,2
774,Road,0.1,1
775,Standard,0.5,2
776,Touring,0.5,3
777,Road,0.3,1
778,Standard,0.6,2
779,Standard,0.7,2
780,Standard,0.0,2
781,Standard,0.7,2
782,Road,0.0,1
783,Standard,0.4,2
784,Road,0.8,1
785,Standard,0.6,2
786,Standard,0.3,2
787,Standard,0.2,2
788,Road,0.7,1
789,Standard,0.4,2
790,Standard,0.2,2
791,Road,0.5,1
792,Standard,0.9,2
793,Standard,0.5,2
794,Road,0.2,1
795,Standard,0.9,2
796,Road,0.7,1
797,Touring,0.8,3
798,Standard,0.3,2
799,Standard,0.4,2
800,Standard,0.4,2
801,Standard,0.2,2
802,Standard,0.9,2
803,Standard,0.8,2
804,Standard,0.5,2
805,Standard,0.6,2
806,Road,0.6,1
807,Road,0.3,1
808,Standard,0.9,2
809,Touring,0.1,3
810,Touring,0.6,3
811,Standard,0.2,2
812,Standard,0.7,2
813,Standard,0.7,2
814,Standard,0.5,2
815,Standard,0.6,2
816,Standard,0.4,2
817,Standard,0.6,2
818,Standard,0.9,2
819,Road,0.8,1
820,Standard,0.6,2
821,Mountain,0.6,0
822,Standard,0.8,2
823,Road,0.6,1
824,Standard,0.8,2
825,Touring,0.2,3
826,Standard,0.9,2
827,Standard,0.4,2
828,Standard,0.9,2
829,Standard,0.8,2
830,Standard,0.9,2
831,Road,0.4,1
832,Touring,0.8,3
833,Road,1.0,1
834,Road,0.3,1
835,Standard,0.7,2
836,Standard,0.9,2
837,Standard,0.9,2
838,Standard,0.7,2
839,Standard,0.5,2
840,Road,0.5,1
841,Mountain,1.0,0
842,Standard,0.9,2
843,Standard,0.8,2
844,Standard,0.8,2
845,Standard,0.4,2
846,Standard,0.8,2
847,Standard,0.9,2
848,Touring,0.7,3
849,Touring,0.7,3
850,Standard,0.3,2
851,Standard,0.6,2
852,Standard,0.4,2
853,Standard,0.9,2
854,Standard,0.9,2
855,Standard,0.3,2
856,Standard,0.5,2
857,Standard,0.5,2
858,Standard,0.9,2
859,Standard,0.1,2
860,Standard,1.0,2
861,Standard,0.4,2
862,Standard,0.9,2
863,Standard,0.2,2
864,Standard,0.7,2
865,Touring,0.7,3
866,Road,0.9,1
867,Mountain,0.9,0
868,Standard,0.5,2
869,Standard,0.4,2
870,Standard,0.6,2
871,Standard,0.7,2
872,Standard,0.4,2
873,Road,0.1,1
874,Standard,0.6,2
875,Standard,0.3,2
876,Touring,1.0,3
877,Standard,0.1,2
878,Road,0.5,1
879,Road,0.6,1
880,Standard,0.5,2
881,Standard,0.3,2
882,Standard,0.7,2
883,Standard,0.7,2
884,Standard,0.3,2
885,Standard,0.2,2
886,Standard,0.1,2
887,Standard,0.5,2
888,Touring,0.4,3
889,Standard,0.9,2
890,Standard,0.4,2
891,Standard,0.4,2
892,Standard,0.6,2
893,Standard,0.4,2
894,Road,0.2,1
895,Standard,0.9,2
896,Standard,0.2,2
897,Standard,0.8,2
898,Touring,0.6,3
899,Road,0.7,1
900,Standard,0.9,2
901,Road,0.6,1
902,Standard,0.5,2
903,Standard,0.4,2
904,Standard,0.4,2
905,Standard,0.9,2
906,Mountain,0.2,0
907,Standard,0.4,2
908,Standard,0.6,2
909,Road,0.4,1
910,Standard,0.7,2
911,Standard,0.7,2
912,Standard,0.3,2
913,Road,0.6,1
914,Standard,0.1,2
915,Road,0.4,1
916,Standard,0.5,2
917,Road,0.7,1
918,Standard,0.6,2
919,Standard,0.3,2
920,Standard,0.5,2
921,Standard,0.3,2
922,Touring,0.3,3
923,Standard,0.6,2
924,Standard,0.4,2
925,Standard,0.3,2
926,Standard,0.6,2
927,Standard,0.0,2
928,Standard,0.4,2
929,Standard,0.6,2
930,Standard,0.3,2
931,Standard,0.5,2
932,Road,0.5,1
933,Standard,0.3,2
934,Standard,0.6,2
935,Standard,0.6,2
936,Standard,0.7,2
937,Standard,0.3,2
938,Standard,1.0,2
939,Standard,0.7,2
940,Standard,0.5,2
941,Standard,0.7,2
942,Standard,0.6,2
943,Standard,0.6,2
944,Standard,0.0,2
945,Mountain,0.4,0
946,Road,0.7,1
947,Road,0.5,1
948,Standard,0.2,2
949,Mountain,0.5,0
950,Road,0.3,1
951,Road,0.4,1
952,Standard,0.3,2
953,Standard,0.4,2
954,Standard,0.2,2
955,Standard,0.9,2
956,Road,0.7,1
957,Touring,0.4,3
958,Touring,0.9,3
959,Standard,0.4,2
960,Road,0.3,1
961,Standard,0.7,2
962,Standard,0.4,2
963,Standard,0.7,2
964,Road,0.7,1
965,Road,0.8,1
966,Standard,0.9,2
967,Standard,0.3,2
968,Road,0.3,1
969,Standard,0.7,2
970,Standard,0.6,2
971,Standard,0.8,2
972,Road,1.0,1
973,Standard,0.6,2
974,Standard,0.9,2
975,Touring,0.8,3
976,Road,0.3,1
977,Touring,0.6,3
978,Standard,0.0,2
979,Road,0.9,1
980,Standard,0.6,2
981,Standard,0.6,2
982,Standard,0.6,2
983,Standard,0.8,2
984,Standard,0.3,2
985,Standard,0.3,2
986,Road,0.7,1
987,Road,0.5,1
988,Standard,0.8,2
989,Standard,0.6,2
990,Standard,0.4,2
991,Standard,0.7,2
992,Standard,0.3,2
993,Standard,0.7,2
994,Standard,0.6,2
995,Standard,0.9,2
996,Road,0.7,1
997,Standard,0.6,2
998,Standard,0.2,2
999,Standard,0.6,2
1000,Standard,0.5,2
1001,Standard,0.9,2
1002,Standard,0.1,2
1003,Road,0.2,1
1004,Standard,0.9,2
1005,Standard,0.6,2
1006,Road,0.4,1
1007,Standard,0.3,2
1008,Standard,0.5,2
1009,Road,0.7,1
1010,Standard,0.4,2
1011,Standard,0.4,2
1012,Standard,0.6,2
1013,Standard,0.5,2
1014,Standard,0.6,2
1015,Touring,0.8,3
1016,Road,0.5,1
1017,Standard,0.9,2
1018,Standard,0.9,2
1019,Road,0.6,1
1020,Touring,0.9,3
1021,Touring,0.4,3
1022,Standard,0.6,2
1023,Standard,0.8,2
1024,Road,0.7,1
1025,Standard,0.9,2
1026,Standard,0.9,2
1027,Road,0.7,1
1028,Standard,0.7,2
1029,Road,0.6,1
1030,Standard,0.5,2
1031,Road,0.3,1
1032,Road,0.4,1
1033,Road,0.5,1
1034,Road,0.3,1
1035,Standard,0.9,2
1036,Standard,0.1,2
1037,Standard,0.7,2
1038,Road,0.8,1
1039,Standard,0.9,2
1040,Road,0.7,1
1041,Standard,0.7,2
1042,Road,0.4,1
1043,Standard,0.6,2
1044,Road,0.7,1
1045,Standard,0.3,2
1046,Touring,0.3,3
1047,Standard,0.4,2
1048,Standard,0.2,2
1049,Standard,0.8,2
1050,Standard,0.3,2
1051,Standard,0.1,2
1052,Standard,0.8,2
1053,Standard,0.4,2
1054,Standard,0.2,2
1055,Touring,0.7,3
1056,Standard,0.8,2
1057,Touring,0.7,3
1058,Standard,0.4,2
1059,Road,0.4,1
1060,Mountain,0.8,0
1061,Standard,0.9,2
1062,Standard,0.7,2
1063,Standard,0.8,2
1064,Standard,0.7,2
1065,Standard,0.5,2
1066,Standard,0.4,2
1067,Mountain,0.3,0
1068,Standard,0.1,2
1069,Standard,0.7,2
1070,Road,0.0,1
1071,Road,0.4,1
1072,Standard,0.9,2
1073,Standard,0.5,2
1074,Road,0.8,1
1075,Standard,0.9,2
1076,Standard,0.2,2
1077,Standard,0.4,2
1078,Mountain,0.5,0
1079,Standard,0.6,2
1080,Standard,0.4,2
1081,Standard,0.4,2
1082,Standard,0.3,2
1083,Standard,0.7,2
1084,Road,0.8,1
1085,Road,0.5,1
1086,Standard,0.7,2
1087,Standard,0.3,2
1088,Standard,0.2,2
1089,Standard,0.6,2
1090,Standard,0.7,2
1091,Standard,1.0,2
1092,Standard,0.5,2
1093,Standard,0.0,2
1094,Standard,0.9,2
1095,Standard,0.6,2
1096,Standard,0.6,2
1097,Road,0.3,1
1098,Standard,0.9,2
1099,Standard,0.2,2
1100,Standard,0.6,2
1101,Standard,0.4,2
1102,Standard,0.6,2
1103,Standard,0.0,2
1104,Standard,0.8,2
1105,Road,0.8,1
1106,Standard,0.9,2
1107,Standard,0.4,2
1108,Road,0.3,1
1109,Standard,0.9,2
1110,Road,0.2,1
1111,Standard,0.9,2
1112,Standard,0.9,2
1113,Mountain,0.3,0
1114,Standard,0.6,2
1115,Standard,0.7,2
1116,Standard,0.8,2
1117,Standard,0.2,2
1118,Standard,0.6,2
1119,Standard,1.0,2
1120,Standard,0.9,2
1121,Road,0.8,1
1122,Standard,1.0,2
1123,Standard,0.9,2
1124,Road,1.0,1
1125,Standard,0.8,2
1126,Standard,0.5,2
1127,Road,0.8,1
1128,Mountain,0.6,0
1129,Standard,0.6,2
1130,Road,0.7,1
1131,Road,0.9,1
1132,Standard,0.6,2
1133,Touring,0.6,3
1134,Road,0.6,1
1135,Standard,0.6,2
1136,Standard,0.8,2
1137,Road,0.7,1
1138,Standard,0.7,2
1139,Standard,0.9,2
1140,Standard,0.5,2
1141,Standard,0.1,2
1142,Standard,1.0,2
1143,Standard,0.9,2
1144,Road,0.7,1
1145,Standard,0.5,2
1146,Standard,0.4,2
1147,Standard,0.7,2
1148,Standard,0.6,2
1149,Road,0.7,1
1150,Standard,0.6,2
1151,Road,0.9,1
1152,Standard,0.6,2
1153,Standard,0.1,2
1154,Standard,0.7,2
1155,Standard,0.7,2
1156,Road,0.3,1
1157,Standard,0.3,2
1158,Standard,0.5,2
1159,Standard,0.5,2
1160,Standard,0.9,2
1161,Standard,0.6,2
1162,Standard,0.7,2
1163,Standard,0.9,2
1164,Road,0.5,1
1165,Standard,0.9,2
