,wealth_segment,RFM_Score ,wealth_segment_encoded,cluster
62,Affluent Customer,0.9,0,2
63,Mass Customer,0.2,2,1
64,Affluent Customer,1.0,0,2
65,Mass Customer,1.0,2,1
66,Mass Customer,0.3,2,1
67,Affluent Customer,0.5,0,2
68,Affluent Customer,0.7,0,2
69,Mass Customer,0.4,2,1
70,Mass Customer,0.4,2,1
71,Mass Customer,0.4,2,1
72,Mass Customer,0.8,2,1
73,Mass Customer,0.3,2,1
74,Affluent Customer,1.0,0,2
75,High Net Worth,0.7,1,0
76,High Net Worth,0.1,1,0
77,Affluent Customer,0.7,0,2
78,Mass Customer,0.2,2,1
79,Affluent Customer,0.5,0,2
80,Mass Customer,0.4,2,1
81,Mass Customer,0.9,2,1
82,High Net Worth,0.1,1,0
83,Mass Customer,0.7,2,1
84,High Net Worth,0.3,1,0
85,Affluent Customer,0.2,0,2
86,Mass Customer,0.1,2,1
87,Mass Customer,0.4,2,1
88,Affluent Customer,0.4,0,2
89,Affluent Customer,0.1,0,2
90,Mass Customer,0.6,2,1
91,Affluent Customer,0.8,0,2
92,Mass Customer,1.0,2,1
93,High Net Worth,0.9,1,0
94,Mass Customer,0.4,2,1
95,High Net Worth,0.3,1,0
96,High Net Worth,0.9,1,0
97,High Net Worth,0.8,1,0
98,Mass Customer,0.9,2,1
99,Mass Customer,0.4,2,1
100,Mass Customer,1.0,2,1
101,Mass Customer,0.4,2,1
102,Mass Customer,0.6,2,1
103,Mass Customer,0.6,2,1
104,Mass Customer,0.6,2,1
105,Mass Customer,1.0,2,1
106,Affluent Customer,0.5,0,2
107,High Net Worth,0.4,1,0
108,High Net Worth,0.7,1,0
109,Affluent Customer,0.8,0,2
110,Mass Customer,1.0,2,1
111,Affluent Customer,0.7,0,2
112,Mass Customer,0.6,2,1
113,Mass Customer,0.1,2,1
114,Affluent Customer,0.3,0,2
115,Mass Customer,0.8,2,1
116,Mass Customer,1.0,2,1
117,Affluent Customer,0.4,0,2
118,Mass Customer,0.5,2,1
119,Mass Customer,0.6,2,1
120,Affluent Customer,0.7,0,2
121,Mass Customer,0.8,2,1
122,Mass Customer,0.4,2,1
123,Mass Customer,0.0,2,1
124,Affluent Customer,0.3,0,2
125,Affluent Customer,0.7,0,2
126,Mass Customer,0.4,2,1
127,High Net Worth,0.4,1,0
128,Affluent Customer,0.9,0,2
129,Affluent Customer,0.3,0,2
130,Affluent Customer,0.7,0,2
131,Mass Customer,0.6,2,1
132,Mass Customer,0.6,2,1
133,Affluent Customer,0.0,0,2
134,High Net Worth,0.1,1,0
135,Affluent Customer,0.4,0,2
136,Mass Customer,0.5,2,1
137,Mass Customer,0.3,2,1
138,High Net Worth,0.1,1,0
139,Affluent Customer,0.4,0,2
140,Affluent Customer,0.4,0,2
141,Mass Customer,0.6,2,1
142,High Net Worth,0.1,1,0
143,Affluent Customer,0.4,0,2
144,Mass Customer,0.5,2,1
145,Mass Customer,0.7,2,1
146,High Net Worth,0.6,1,0
147,Affluent Customer,0.9,0,2
148,High Net Worth,0.9,1,0
149,Mass Customer,0.4,2,1
150,High Net Worth,0.8,1,0
151,Mass Customer,0.8,2,1
152,Affluent Customer,0.7,0,2
153,Mass Customer,0.7,2,1
154,Mass Customer,0.4,2,1
155,High Net Worth,0.7,1,0
156,Mass Customer,0.7,2,1
157,High Net Worth,1.0,1,0
158,Mass Customer,0.5,2,1
159,High Net Worth,0.6,1,0
160,High Net Worth,0.3,1,0
161,Mass Customer,0.4,2,1
162,Mass Customer,0.5,2,1
163,Mass Customer,0.7,2,1
164,Affluent Customer,0.9,0,2
165,Mass Customer,0.7,2,1
166,High Net Worth,0.4,1,0
167,Mass Customer,0.6,2,1
168,Mass Customer,0.6,2,1
169,Mass Customer,0.1,2,1
170,Mass Customer,0.6,2,1
171,Affluent Customer,0.4,0,2
172,High Net Worth,0.4,1,0
173,High Net Worth,0.2,1,0
174,High Net Worth,0.7,1,0
175,Mass Customer,0.7,2,1
176,Affluent Customer,0.5,0,2
177,Affluent Customer,1.0,0,2
178,Mass Customer,0.6,2,1
179,Mass Customer,0.7,2,1
180,Mass Customer,0.7,2,1
181,Mass Customer,0.3,2,1
182,Mass Customer,0.3,2,1
183,Mass Customer,0.8,2,1
184,Affluent Customer,0.4,0,2
185,Affluent Customer,0.2,0,2
186,Mass Customer,0.0,2,1
187,High Net Worth,0.3,1,0
188,Mass Customer,0.6,2,1
189,Mass Customer,0.5,2,1
190,High Net Worth,0.6,1,0
191,Mass Customer,0.0,2,1
192,High Net Worth,0.6,1,0
193,Affluent Customer,0.1,0,2
194,Mass Customer,0.6,2,1
195,Affluent Customer,1.0,0,2
196,Affluent Customer,0.9,0,2
197,Affluent Customer,0.7,0,2
198,Mass Customer,0.2,2,1
199,Mass Customer,0.2,2,1
200,High Net Worth,0.4,1,0
201,High Net Worth,0.7,1,0
202,Mass Customer,0.4,2,1
203,Mass Customer,0.6,2,1
204,Mass Customer,0.8,2,1
205,Mass Customer,0.5,2,1
206,Mass Customer,0.0,2,1
207,Affluent Customer,0.2,0,2
208,High Net Worth,0.6,1,0
209,Mass Customer,0.6,2,1
210,High Net Worth,0.1,1,0
211,Mass Customer,0.6,2,1
212,Affluent Customer,0.8,0,2
213,High Net Worth,0.9,1,0
214,Mass Customer,0.3,2,1
215,Affluent Customer,0.7,0,2
216,Mass Customer,0.7,2,1
217,Mass Customer,0.0,2,1
218,Mass Customer,0.0,2,1
219,Mass Customer,0.8,2,1
220,High Net Worth,0.5,1,0
221,Affluent Customer,0.4,0,2
222,Mass Customer,1.0,2,1
223,Affluent Customer,0.5,0,2
224,Affluent Customer,0.7,0,2
225,Affluent Customer,0.8,0,2
226,Mass Customer,0.6,2,1
227,Mass Customer,0.4,2,1
228,High Net Worth,0.6,1,0
229,Mass Customer,0.7,2,1
230,Mass Customer,0.8,2,1
231,Affluent Customer,0.3,0,2
232,Mass Customer,0.8,2,1
233,Mass Customer,0.1,2,1
234,High Net Worth,0.9,1,0
235,Affluent Customer,0.5,0,2
236,Mass Customer,0.4,2,1
237,Mass Customer,0.4,2,1
238,Mass Customer,0.4,2,1
239,Mass Customer,0.4,2,1
240,High Net Worth,0.5,1,0
241,Mass Customer,0.8,2,1
242,High Net Worth,0.6,1,0
243,Mass Customer,0.6,2,1
244,Affluent Customer,0.0,0,2
245,Mass Customer,0.6,2,1
246,High Net Worth,0.7,1,0
247,Mass Customer,0.5,2,1
248,High Net Worth,0.4,1,0
249,High Net Worth,0.7,1,0
250,Affluent Customer,0.9,0,2
251,Affluent Customer,0.7,0,2
252,Mass Customer,0.1,2,1
253,Affluent Customer,0.4,0,2
254,Mass Customer,0.3,2,1
255,High Net Worth,0.7,1,0
256,Mass Customer,0.6,2,1
257,Mass Customer,0.7,2,1
258,Mass Customer,0.4,2,1
259,Mass Customer,0.5,2,1
260,High Net Worth,0.0,1,0
261,High Net Worth,0.7,1,0
262,Mass Customer,0.9,2,1
263,Affluent Customer,0.8,0,2
264,High Net Worth,0.5,1,0
265,Mass Customer,0.7,2,1
266,Mass Customer,0.4,2,1
267,High Net Worth,0.9,1,0
268,Mass Customer,0.7,2,1
269,Mass Customer,0.3,2,1
270,High Net Worth,1.0,1,0
271,Affluent Customer,0.3,0,2
272,High Net Worth,0.1,1,0
273,Affluent Customer,0.3,0,2
274,Mass Customer,0.8,2,1
275,Affluent Customer,0.2,0,2
276,High Net Worth,0.6,1,0
277,Mass Customer,0.9,2,1
278,Affluent Customer,0.8,0,2
279,High Net Worth,0.7,1,0
280,Mass Customer,0.6,2,1
281,Affluent Customer,0.9,0,2
282,Mass Customer,0.8,2,1
283,Affluent Customer,0.3,0,2
284,Mass Customer,0.3,2,1
285,High Net Worth,0.6,1,0
286,High Net Worth,0.1,1,0
287,Mass Customer,0.6,2,1
288,High Net Worth,0.9,1,0
289,High Net Worth,0.4,1,0
290,Affluent Customer,0.9,0,2
291,Mass Customer,0.6,2,1
292,Mass Customer,0.2,2,1
293,Mass Customer,0.5,2,1
294,High Net Worth,1.0,1,0
295,Mass Customer,0.7,2,1
296,Mass Customer,0.7,2,1
297,Mass Customer,0.3,2,1
298,Affluent Customer,0.9,0,2
299,Mass Customer,0.6,2,1
300,Affluent Customer,0.6,0,2
301,Affluent Customer,0.9,0,2
302,Affluent Customer,0.6,0,2
303,Mass Customer,0.7,2,1
304,Mass Customer,0.6,2,1
305,Mass Customer,0.7,2,1
306,Mass Customer,0.8,2,1
307,Affluent Customer,0.3,0,2
308,Affluent Customer,0.8,0,2
309,High Net Worth,0.9,1,0
310,Mass Customer,0.8,2,1
311,Mass Customer,0.4,2,1
312,Mass Customer,0.6,2,1
313,High Net Worth,0.7,1,0
314,Affluent Customer,0.3,0,2
315,Mass Customer,0.6,2,1
316,Mass Customer,0.8,2,1
317,Mass Customer,0.7,2,1
318,Affluent Customer,0.6,0,2
319,Affluent Customer,0.8,0,2
320,Mass Customer,0.5,2,1
321,Mass Customer,0.8,2,1
322,Mass Customer,0.6,2,1
323,Mass Customer,0.2,2,1
324,High Net Worth,0.8,1,0
325,Mass Customer,0.4,2,1
326,Affluent Customer,0.5,0,2
327,Mass Customer,0.4,2,1
328,Mass Customer,0.0,2,1
329,Mass Customer,0.9,2,1
330,Affluent Customer,0.9,0,2
331,Mass Customer,0.6,2,1
332,Mass Customer,0.8,2,1
333,Mass Customer,0.7,2,1
334,Mass Customer,0.5,2,1
335,Mass Customer,0.5,2,1
336,High Net Worth,0.5,1,0
337,Mass Customer,0.6,2,1
338,Mass Customer,0.6,2,1
339,Mass Customer,0.8,2,1
340,Affluent Customer,0.8,0,2
341,High Net Worth,0.9,1,0
342,Mass Customer,0.5,2,1
343,Affluent Customer,0.8,0,2
344,Affluent Customer,0.0,0,2
345,High Net Worth,0.8,1,0
346,Mass Customer,0.2,2,1
347,Mass Customer,0.9,2,1
348,High Net Worth,0.6,1,0
349,Mass Customer,0.7,2,1
350,Mass Customer,0.5,2,1
351,Affluent Customer,0.1,0,2
352,High Net Worth,0.9,1,0
353,Mass Customer,0.4,2,1
354,Mass Customer,0.3,2,1
355,Affluent Customer,0.2,0,2
356,Affluent Customer,0.9,0,2
357,High Net Worth,0.9,1,0
358,Mass Customer,0.5,2,1
359,Mass Customer,0.7,2,1
360,High Net Worth,0.3,1,0
361,Affluent Customer,0.3,0,2
362,Affluent Customer,0.7,0,2
363,Mass Customer,0.3,2,1
364,High Net Worth,0.5,1,0
365,High Net Worth,0.8,1,0
366,Affluent Customer,0.7,0,2
367,Mass Customer,1.0,2,1
368,Affluent Customer,0.4,0,2
369,Affluent Customer,0.6,0,2
370,Mass Customer,0.8,2,1
371,Affluent Customer,0.6,0,2
372,High Net Worth,0.7,1,0
373,High Net Worth,0.5,1,0
374,Affluent Customer,0.9,0,2
375,High Net Worth,0.1,1,0
376,High Net Worth,0.5,1,0
377,High Net Worth,0.9,1,0
378,Mass Customer,0.6,2,1
379,Mass Customer,0.1,2,1
380,Mass Customer,0.8,2,1
381,Mass Customer,0.4,2,1
382,High Net Worth,0.6,1,0
383,Mass Customer,1.0,2,1
384,Affluent Customer,0.6,0,2
385,High Net Worth,0.9,1,0
386,High Net Worth,0.6,1,0
387,Affluent Customer,0.9,0,2
388,Mass Customer,0.6,2,1
389,Mass Customer,0.6,2,1
390,Mass Customer,0.6,2,1
391,Mass Customer,0.4,2,1
392,Affluent Customer,0.6,0,2
393,Affluent Customer,0.5,0,2
394,Affluent Customer,0.7,0,2
395,Mass Customer,0.7,2,1
396,Mass Customer,0.5,2,1
397,High Net Worth,0.7,1,0
398,Mass Customer,0.5,2,1
399,High Net Worth,0.3,1,0
400,High Net Worth,0.5,1,0
401,High Net Worth,0.3,1,0
402,Affluent Customer,0.6,0,2
403,High Net Worth,0.1,1,0
404,Mass Customer,0.3,2,1
405,Mass Customer,0.1,2,1
406,Affluent Customer,0.3,0,2
407,Affluent Customer,0.9,0,2
408,Mass Customer,0.4,2,1
409,Mass Customer,0.8,2,1
410,Mass Customer,0.1,2,1
411,Mass Customer,0.3,2,1
412,Affluent Customer,0.6,0,2
413,High Net Worth,0.7,1,0
414,High Net Worth,0.6,1,0
415,Mass Customer,0.5,2,1
416,Affluent Customer,0.1,0,2
417,Mass Customer,0.4,2,1
418,High Net Worth,0.8,1,0
419,High Net Worth,0.9,1,0
420,Mass Customer,0.8,2,1
421,High Net Worth,0.6,1,0
422,Mass Customer,1.0,2,1
423,Mass Customer,0.6,2,1
424,High Net Worth,0.7,1,0
425,Mass Customer,0.6,2,1
426,Mass Customer,0.4,2,1
427,Affluent Customer,0.4,0,2
428,Mass Customer,0.9,2,1
429,Mass Customer,0.4,2,1
430,Mass Customer,0.3,2,1
431,Mass Customer,0.8,2,1
432,High Net Worth,0.4,1,0
433,Affluent Customer,0.3,0,2
434,Affluent Customer,0.6,0,2
435,Mass Customer,0.3,2,1
436,High Net Worth,0.6,1,0
437,Mass Customer,0.5,2,1
438,Affluent Customer,0.3,0,2
439,Mass Customer,0.7,2,1
440,Mass Customer,0.3,2,1
441,Affluent Customer,0.5,0,2
442,Affluent Customer,1.0,0,2
443,Mass Customer,0.1,2,1
444,High Net Worth,0.9,1,0
445,High Net Worth,0.4,1,0
446,Mass Customer,0.9,2,1
447,Mass Customer,1.0,2,1
448,Mass Customer,0.0,2,1
449,Mass Customer,0.9,2,1
450,High Net Worth,0.7,1,0
451,Mass Customer,0.4,2,1
452,Mass Customer,0.3,2,1
453,Mass Customer,1.0,2,1
454,High Net Worth,0.6,1,0
455,Affluent Customer,0.8,0,2
456,Mass Customer,0.4,2,1
457,Mass Customer,0.7,2,1
458,Mass Customer,0.5,2,1
459,Mass Customer,0.7,2,1
460,Affluent Customer,0.1,0,2
461,Affluent Customer,0.9,0,2
462,Mass Customer,0.9,2,1
463,Mass Customer,0.2,2,1
464,Mass Customer,0.3,2,1
465,Mass Customer,0.4,2,1
466,Mass Customer,0.1,2,1
467,Affluent Customer,0.8,0,2
468,Affluent Customer,0.7,0,2
469,High Net Worth,0.5,1,0
470,High Net Worth,0.2,1,0
471,Affluent Customer,0.4,0,2
472,Affluent Customer,0.2,0,2
473,Mass Customer,0.6,2,1
474,High Net Worth,0.9,1,0
475,High Net Worth,1.0,1,0
476,Affluent Customer,0.5,0,2
477,Mass Customer,0.7,2,1
478,Mass Customer,0.6,2,1
479,Affluent Customer,0.4,0,2
480,Mass Customer,0.3,2,1
481,High Net Worth,0.3,1,0
482,Affluent Customer,0.7,0,2
483,Affluent Customer,0.1,0,2
484,High Net Worth,0.0,1,0
485,Mass Customer,0.8,2,1
486,Mass Customer,0.7,2,1
487,Mass Customer,0.4,2,1
488,Mass Customer,1.0,2,1
489,Affluent Customer,0.4,0,2
490,High Net Worth,0.8,1,0
491,High Net Worth,0.2,1,0
492,Mass Customer,0.7,2,1
493,Mass Customer,0.7,2,1
494,Mass Customer,0.5,2,1
495,Mass Customer,0.9,2,1
496,Affluent Customer,0.6,0,2
497,High Net Worth,0.7,1,0
498,Mass Customer,0.9,2,1
499,Mass Customer,0.6,2,1
500,Mass Customer,0.8,2,1
501,High Net Worth,0.9,1,0
502,Mass Customer,0.3,2,1
503,Affluent Customer,0.7,0,2
504,Affluent Customer,0.4,0,2
505,Mass Customer,0.3,2,1
506,Mass Customer,0.9,2,1
507,Mass Customer,0.7,2,1
508,Affluent Customer,0.5,0,2
509,High Net Worth,1.0,1,0
510,Affluent Customer,1.0,0,2
511,Mass Customer,0.7,2,1
512,High Net Worth,0.6,1,0
513,Mass Customer,0.9,2,1
514,Mass Customer,0.7,2,1
515,Affluent Customer,0.8,0,2
516,Mass Customer,0.6,2,1
517,High Net Worth,0.7,1,0
518,Mass Customer,0.7,2,1
519,Affluent Customer,0.7,0,2
520,High Net Worth,0.4,1,0
521,Mass Customer,0.9,2,1
522,High Net Worth,0.4,1,0
523,High Net Worth,0.4,1,0
524,Mass Customer,0.3,2,1
525,High Net Worth,0.3,1,0
526,High Net Worth,0.5,1,0
527,Affluent Customer,0.7,0,2
528,Mass Customer,0.4,2,1
529,Mass Customer,0.8,2,1
530,Mass Customer,0.1,2,1
531,Mass Customer,0.6,2,1
532,Mass Customer,0.3,2,1
533,Affluent Customer,1.0,0,2
534,High Net Worth,0.6,1,0
535,High Net Worth,0.6,1,0
536,Mass Customer,0.8,2,1
537,High Net Worth,0.3,1,0
538,High Net Worth,0.3,1,0
539,Affluent Customer,0.4,0,2
540,Mass Customer,0.4,2,1
541,Mass Customer,0.4,2,1
542,Mass Customer,0.5,2,1
543,Affluent Customer,0.9,0,2
544,Affluent Customer,0.8,0,2
545,High Net Worth,0.5,1,0
546,Mass Customer,0.8,2,1
547,Affluent Customer,0.0,0,2
548,Mass Customer,0.8,2,1
549,Mass Customer,0.7,2,1
550,Affluent Customer,1.0,0,2
551,High Net Worth,0.7,1,0
552,Affluent Customer,0.5,0,2
553,High Net Worth,1.0,1,0
554,Affluent Customer,0.5,0,2
555,Mass Customer,0.8,2,1
556,Mass Customer,0.3,2,1
557,Mass Customer,0.2,2,1
558,Mass Customer,0.0,2,1
559,Affluent Customer,0.5,0,2
560,Affluent Customer,0.4,0,2
561,High Net Worth,0.6,1,0
562,Affluent Customer,0.5,0,2
563,Affluent Customer,0.4,0,2
564,Mass Customer,0.6,2,1
565,Affluent Customer,0.7,0,2
566,High Net Worth,0.7,1,0
567,High Net Worth,0.2,1,0
568,Affluent Customer,0.4,0,2
569,Mass Customer,0.5,2,1
570,Mass Customer,0.5,2,1
571,High Net Worth,1.0,1,0
572,Affluent Customer,0.6,0,2
573,Mass Customer,0.4,2,1
574,Mass Customer,0.3,2,1
575,High Net Worth,0.7,1,0
576,Mass Customer,0.6,2,1
577,Affluent Customer,0.3,0,2
578,Affluent Customer,0.3,0,2
579,Affluent Customer,0.4,0,2
580,Affluent Customer,0.1,0,2
581,Affluent Customer,0.0,0,2
582,Affluent Customer,0.7,0,2
583,Mass Customer,0.7,2,1
584,Affluent Customer,0.1,0,2
585,Mass Customer,0.4,2,1
586,High Net Worth,0.8,1,0
587,Mass Customer,0.4,2,1
588,Mass Customer,0.0,2,1
589,Mass Customer,0.3,2,1
590,Mass Customer,0.9,2,1
591,High Net Worth,0.7,1,0
592,Mass Customer,0.8,2,1
593,High Net Worth,0.6,1,0
594,Mass Customer,0.4,2,1
595,High Net Worth,0.7,1,0
596,Mass Customer,0.9,2,1
597,High Net Worth,0.9,1,0
598,High Net Worth,0.7,1,0
599,Affluent Customer,0.5,0,2
600,High Net Worth,0.4,1,0
601,Mass Customer,0.3,2,1
602,Affluent Customer,0.6,0,2
603,Mass Customer,0.6,2,1
604,High Net Worth,0.2,1,0
605,Mass Customer,0.3,2,1
606,Mass Customer,1.0,2,1
607,Mass Customer,0.1,2,1
608,Mass Customer,0.7,2,1
609,Affluent Customer,0.5,0,2
610,Mass Customer,0.8,2,1
611,Affluent Customer,0.6,0,2
612,Affluent Customer,0.6,0,2
613,Affluent Customer,1.0,0,2
614,Mass Customer,0.4,2,1
615,Affluent Customer,0.7,0,2
616,High Net Worth,0.8,1,0
617,Affluent Customer,0.8,0,2
618,Mass Customer,0.8,2,1
619,Mass Customer,0.8,2,1
620,Affluent Customer,0.6,0,2
621,Mass Customer,0.5,2,1
622,Affluent Customer,0.5,0,2
623,Mass Customer,0.7,2,1
624,Mass Customer,0.5,2,1
625,High Net Worth,0.5,1,0
626,Affluent Customer,0.3,0,2
627,High Net Worth,0.5,1,0
628,Mass Customer,0.2,2,1
629,Mass Customer,0.1,2,1
630,High Net Worth,0.5,1,0
631,High Net Worth,0.8,1,0
632,High Net Worth,0.6,1,0
633,High Net Worth,0.2,1,0
634,High Net Worth,0.9,1,0
635,Mass Customer,0.6,2,1
636,Affluent Customer,0.3,0,2
637,Mass Customer,0.5,2,1
638,Mass Customer,0.6,2,1
639,Affluent Customer,1.0,0,2
640,Affluent Customer,0.4,0,2
641,High Net Worth,0.1,1,0
642,Affluent Customer,0.4,0,2
643,Mass Customer,0.6,2,1
644,Mass Customer,0.0,2,1
645,Mass Customer,0.6,2,1
646,Mass Customer,0.5,2,1
647,Mass Customer,0.5,2,1
648,Mass Customer,0.6,2,1
649,High Net Worth,0.3,1,0
650,Mass Customer,1.0,2,1
651,Mass Customer,0.4,2,1
652,Mass Customer,0.1,2,1
653,Mass Customer,0.7,2,1
654,Mass Customer,0.4,2,1
655,High Net Worth,0.1,1,0
656,Mass Customer,0.8,2,1
657,High Net Worth,0.8,1,0
658,High Net Worth,0.7,1,0
659,Affluent Customer,0.7,0,2
660,Mass Customer,0.6,2,1
661,Affluent Customer,1.0,0,2
662,Affluent Customer,0.1,0,2
663,Affluent Customer,0.7,0,2
664,Mass Customer,0.7,2,1
665,High Net Worth,0.3,1,0
666,Affluent Customer,0.8,0,2
667,Mass Customer,0.6,2,1
668,Affluent Customer,0.1,0,2
669,Mass Customer,0.7,2,1
670,Mass Customer,0.5,2,1
671,High Net Worth,0.9,1,0
672,Affluent Customer,0.9,0,2
673,Mass Customer,0.7,2,1
674,High Net Worth,0.3,1,0
675,Mass Customer,0.7,2,1
676,High Net Worth,1.0,1,0
677,Mass Customer,0.4,2,1
678,High Net Worth,0.9,1,0
679,Affluent Customer,0.6,0,2
680,Mass Customer,0.4,2,1
681,Affluent Customer,0.6,0,2
682,Affluent Customer,0.3,0,2
683,High Net Worth,0.8,1,0
684,Affluent Customer,0.7,0,2
685,Mass Customer,0.4,2,1
686,Mass Customer,0.6,2,1
687,Mass Customer,0.7,2,1
688,Mass Customer,1.0,2,1
689,High Net Worth,0.7,1,0
690,Mass Customer,1.0,2,1
691,High Net Worth,0.3,1,0
692,Mass Customer,0.9,2,1
693,Affluent Customer,0.9,0,2
694,Affluent Customer,0.5,0,2
695,Mass Customer,0.7,2,1
696,Mass Customer,0.3,2,1
697,High Net Worth,0.3,1,0
698,Mass Customer,0.5,2,1
699,Mass Customer,0.6,2,1
700,Mass Customer,0.1,2,1
701,Mass Customer,0.6,2,1
702,Mass Customer,0.8,2,1
703,Mass Customer,0.7,2,1
704,High Net Worth,0.5,1,0
705,Affluent Customer,0.8,0,2
706,Mass Customer,0.4,2,1
707,High Net Worth,0.4,1,0
708,Mass Customer,0.6,2,1
709,Mass Customer,0.1,2,1
710,Mass Customer,0.8,2,1
711,High Net Worth,0.6,1,0
712,Mass Customer,0.7,2,1
713,Affluent Customer,0.3,0,2
714,High Net Worth,0.3,1,0
715,Mass Customer,0.8,2,1
716,High Net Worth,0.4,1,0
717,Mass Customer,0.7,2,1
718,High Net Worth,0.9,1,0
719,High Net Worth,0.6,1,0
720,Affluent Customer,0.9,0,2
721,Affluent Customer,0.4,0,2
722,High Net Worth,0.7,1,0
723,Mass Customer,1.0,2,1
724,High Net Worth,0.9,1,0
725,Mass Customer,0.8,2,1
726,High Net Worth,0.0,1,0
727,Mass Customer,0.6,2,1
728,Mass Customer,0.3,2,1
729,Mass Customer,0.2,2,1
730,Mass Customer,0.7,2,1
731,Affluent Customer,0.4,0,2
732,Affluent Customer,0.7,0,2
733,Affluent Customer,0.4,0,2
734,High Net Worth,0.4,1,0
735,Affluent Customer,0.6,0,2
736,High Net Worth,0.7,1,0
737,Mass Customer,0.5,2,1
738,High Net Worth,0.8,1,0
739,Affluent Customer,0.4,0,2
740,Mass Customer,0.0,2,1
741,Mass Customer,0.7,2,1
742,Affluent Customer,0.5,0,2
743,Mass Customer,0.4,2,1
744,Mass Customer,0.3,2,1
745,Mass Customer,0.5,2,1
746,Mass Customer,1.0,2,1
747,Mass Customer,0.7,2,1
748,High Net Worth,0.6,1,0
749,Affluent Customer,0.2,0,2
750,Mass Customer,0.4,2,1
751,Mass Customer,0.4,2,1
752,Mass Customer,0.3,2,1
753,High Net Worth,0.1,1,0
754,Mass Customer,0.4,2,1
755,High Net Worth,0.7,1,0
756,Mass Customer,0.7,2,1
757,Mass Customer,0.3,2,1
758,Mass Customer,0.5,2,1
759,High Net Worth,0.5,1,0
760,Mass Customer,0.8,2,1
761,Mass Customer,0.8,2,1
762,Affluent Customer,0.3,0,2
763,Affluent Customer,0.4,0,2
764,Affluent Customer,0.3,0,2
765,Mass Customer,0.3,2,1
766,High Net Worth,0.4,1,0
767,High Net Worth,0.5,1,0
768,Affluent Customer,0.6,0,2
769,High Net Worth,0.6,1,0
770,Affluent Customer,0.3,0,2
771,High Net Worth,0.8,1,0
772,Mass Customer,0.1,2,1
773,High Net Worth,0.9,1,0
774,Mass Customer,0.1,2,1
775,Mass Customer,0.5,2,1
776,Mass Customer,0.5,2,1
777,Mass Customer,0.3,2,1
778,Mass Customer,0.6,2,1
779,Affluent Customer,0.7,0,2
780,High Net Worth,0.0,1,0
781,Mass Customer,0.7,2,1
782,High Net Worth,0.0,1,0
783,Affluent Customer,0.4,0,2
784,Mass Customer,0.8,2,1
785,High Net Worth,0.6,1,0
786,Mass Customer,0.3,2,1
787,High Net Worth,0.2,1,0
788,Affluent Customer,0.7,0,2
789,Affluent Customer,0.4,0,2
790,Mass Customer,0.2,2,1
791,High Net Worth,0.5,1,0
792,Mass Customer,0.9,2,1
793,Affluent Customer,0.5,0,2
794,Mass Customer,0.2,2,1
795,High Net Worth,0.9,1,0
796,Mass Customer,0.7,2,1
797,Mass Customer,0.8,2,1
798,Affluent Customer,0.3,0,2
799,Mass Customer,0.4,2,1
800,Affluent Customer,0.4,0,2
801,Affluent Customer,0.2,0,2
802,High Net Worth,0.9,1,0
803,Mass Customer,0.8,2,1
804,High Net Worth,0.5,1,0
805,Affluent Customer,0.6,0,2
806,High Net Worth,0.6,1,0
