,job_industry_category,RFM_Score ,job_category_encoded,cluster
230,Retail,0.8,7,2
231,Manufacturing,0.3,5,1
232,Manufacturing,0.8,5,1
233,Argiculture,0.1,0,0
234,Argiculture,0.9,0,0
235,Retail,0.5,7,2
236,Manufacturing,0.4,5,1
237,Entertainment,0.4,1,0
238,Retail,0.4,7,2
239,Property,0.4,6,2
240,Retail,0.5,7,2
241,Retail,0.8,7,2
242,IT,0.6,4,1
243,Manufacturing,0.6,5,1
244,IT,0.0,4,1
245,Manufacturing,0.6,5,1
246,Telecommunications,0.7,8,2
247,Retail,0.5,7,2
248,Entertainment,0.4,1,0
249,Manufacturing,0.7,5,1
250,Financial Services,0.9,2,0
251,IT,0.7,4,1
252,Health,0.1,3,0
253,Manufacturing,0.4,5,1
254,Financial Services,0.3,2,0
255,Retail,0.7,7,2
256,Manufacturing,0.6,5,1
257,Retail,0.7,7,2
258,Financial Services,0.4,2,0
259,Health,0.5,3,0
260,Property,0.0,6,2
261,Manufacturing,0.7,5,1
262,Retail,0.9,7,2
263,Retail,0.8,7,2
264,Financial Services,0.5,2,0
265,Manufacturing,0.7,5,1
266,Financial Services,0.4,2,0
267,Health,0.9,3,0
268,Manufacturing,0.7,5,1
269,Manufacturing,0.3,5,1
270,Manufacturing,1.0,5,1
271,Entertainment,0.3,1,0
272,Manufacturing,0.1,5,1
273,Financial Services,0.3,2,0
274,Manufacturing,0.8,5,1
275,Health,0.2,3,0
276,Financial Services,0.6,2,0
277,IT,0.9,4,1
278,Entertainment,0.8,1,0
279,IT,0.7,4,1
280,Manufacturing,0.6,5,1
281,Retail,0.9,7,2
282,Manufacturing,0.8,5,1
283,Retail,0.3,7,2
284,Financial Services,0.3,2,0
285,Manufacturing,0.6,5,1
286,Telecommunications,0.1,8,2
287,Financial Services,0.6,2,0
288,Retail,0.9,7,2
289,Property,0.4,6,2
290,Financial Services,0.9,2,0
291,Retail,0.6,7,2
292,Entertainment,0.2,1,0
293,Manufacturing,0.5,5,1
294,Argiculture,1.0,0,0
295,Health,0.7,3,0
296,Retail,0.7,7,2
297,Health,0.3,3,0
298,Manufacturing,0.9,5,1
299,Property,0.6,6,2
300,Retail,0.6,7,2
301,Manufacturing,0.9,5,1
302,Manufacturing,0.6,5,1
303,Health,0.7,3,0
304,Manufacturing,0.6,5,1
305,Health,0.7,3,0
306,Manufacturing,0.8,5,1
307,Manufacturing,0.3,5,1
308,Telecommunications,0.8,8,2
309,Retail,0.9,7,2
310,Financial Services,0.8,2,0
311,Manufacturing,0.4,5,1
312,Manufacturing,0.6,5,1
313,IT,0.7,4,1
314,Property,0.3,6,2
315,IT,0.6,4,1
316,Health,0.8,3,0
317,Health,0.7,3,0
318,Manufacturing,0.6,5,1
319,Financial Services,0.8,2,0
320,Entertainment,0.5,1,0
321,Retail,0.8,7,2
322,Retail,0.6,7,2
323,Financial Services,0.2,2,0
324,Retail,0.8,7,2
325,Retail,0.4,7,2
326,Health,0.5,3,0
327,Health,0.4,3,0
328,Financial Services,0.0,2,0
329,Manufacturing,0.9,5,1
330,Financial Services,0.9,2,0
331,Health,0.6,3,0
332,Retail,0.8,7,2
333,Retail,0.7,7,2
334,Health,0.5,3,0
335,Property,0.5,6,2
336,IT,0.5,4,1
337,Property,0.6,6,2
338,Financial Services,0.6,2,0
339,Manufacturing,0.8,5,1
340,Retail,0.8,7,2
341,Retail,0.9,7,2
342,Health,0.5,3,0
343,Retail,0.8,7,2
344,Telecommunications,0.0,8,2
345,Financial Services,0.8,2,0
346,Health,0.2,3,0
347,Manufacturing,0.9,5,1
348,Health,0.6,3,0
349,Manufacturing,0.7,5,1
350,Telecommunications,0.5,8,2
351,Health,0.1,3,0
352,Property,0.9,6,2
353,Manufacturing,0.4,5,1
354,Manufacturing,0.3,5,1
355,Financial Services,0.2,2,0
356,IT,0.9,4,1
357,Financial Services,0.9,2,0
358,Manufacturing,0.5,5,1
359,Financial Services,0.7,2,0
360,Manufacturing,0.3,5,1
361,Health,0.3,3,0
362,Health,0.7,3,0
363,Manufacturing,0.3,5,1
364,Health,0.5,3,0
365,Manufacturing,0.8,5,1
366,Health,0.7,3,0
367,Health,1.0,3,0
368,IT,0.4,4,1
369,Retail,0.6,7,2
370,Entertainment,0.8,1,0
371,Financial Services,0.6,2,0
372,Financial Services,0.7,2,0
373,Retail,0.5,7,2
374,Manufacturing,0.9,5,1
375,Health,0.1,3,0
376,Manufacturing,0.5,5,1
377,Health,0.9,3,0
378,Property,0.6,6,2
379,Entertainment,0.1,1,0
380,Health,0.8,3,0
381,Property,0.4,6,2
382,Health,0.6,3,0
383,Financial Services,1.0,2,0
384,Manufacturing,0.6,5,1
385,Manufacturing,0.9,5,1
386,Health,0.6,3,0
387,Financial Services,0.9,2,0
388,Manufacturing,0.6,5,1
389,Manufacturing,0.6,5,1
390,Manufacturing,0.6,5,1
391,Manufacturing,0.4,5,1
392,Health,0.6,3,0
393,Financial Services,0.5,2,0
394,Manufacturing,0.7,5,1
395,Manufacturing,0.7,5,1
396,Manufacturing,0.5,5,1
397,Health,0.7,3,0
398,Telecommunications,0.5,8,2
399,Entertainment,0.3,1,0
400,Financial Services,0.5,2,0
401,Financial Services,0.3,2,0
402,Financial Services,0.6,2,0
403,IT,0.1,4,1
404,Property,0.3,6,2
405,Retail,0.1,7,2
406,Retail,0.3,7,2
407,Health,0.9,3,0
408,Manufacturing,0.4,5,1
409,Health,0.8,3,0
410,Manufacturing,0.1,5,1
411,Retail,0.3,7,2
412,Health,0.6,3,0
413,Financial Services,0.7,2,0
414,Health,0.6,3,0
415,Manufacturing,0.5,5,1
416,Financial Services,0.1,2,0
417,Retail,0.4,7,2
418,Financial Services,0.8,2,0
419,Health,0.9,3,0
420,Manufacturing,0.8,5,1
421,IT,0.6,4,1
422,Financial Services,1.0,2,0
423,Retail,0.6,7,2
424,Retail,0.7,7,2
425,Manufacturing,0.6,5,1
426,Manufacturing,0.4,5,1
427,Retail,0.4,7,2
428,Health,0.9,3,0
429,Retail,0.4,7,2
430,Financial Services,0.3,2,0
431,Entertainment,0.8,1,0
432,IT,0.4,4,1
433,Argiculture,0.3,0,0
434,Financial Services,0.6,2,0
435,Health,0.3,3,0
436,Manufacturing,0.6,5,1
437,Manufacturing,0.5,5,1
438,Health,0.3,3,0
439,Telecommunications,0.7,8,2
440,Entertainment,0.3,1,0
441,Financial Services,0.5,2,0
442,Health,1.0,3,0
443,Health,0.1,3,0
444,Manufacturing,0.9,5,1
445,Property,0.4,6,2
446,Manufacturing,0.9,5,1
447,Financial Services,1.0,2,0
448,Manufacturing,0.0,5,1
449,Financial Services,0.9,2,0
450,Health,0.7,3,0
451,Health,0.4,3,0
452,Health,0.3,3,0
453,Financial Services,1.0,2,0
454,Retail,0.6,7,2
455,Manufacturing,0.8,5,1
456,Manufacturing,0.4,5,1
457,Health,0.7,3,0
458,Telecommunications,0.5,8,2
459,Manufacturing,0.7,5,1
460,Financial Services,0.1,2,0
461,Manufacturing,0.9,5,1
462,Health,0.9,3,0
463,Financial Services,0.2,2,0
464,Retail,0.3,7,2
465,Financial Services,0.4,2,0
466,Financial Services,0.1,2,0
467,Entertainment,0.8,1,0
468,Manufacturing,0.7,5,1
469,Health,0.5,3,0
470,Property,0.2,6,2
471,Financial Services,0.4,2,0
472,Manufacturing,0.2,5,1
473,Manufacturing,0.6,5,1
474,Health,0.9,3,0
475,Manufacturing,1.0,5,1
476,Manufacturing,0.5,5,1
477,IT,0.7,4,1
478,Retail,0.6,7,2
479,Health,0.4,3,0
480,Entertainment,0.3,1,0
481,Health,0.3,3,0
482,Financial Services,0.7,2,0
483,Entertainment,0.1,1,0
484,Health,0.0,3,0
485,Entertainment,0.8,1,0
486,Retail,0.7,7,2
487,Manufacturing,0.4,5,1
488,Manufacturing,1.0,5,1
489,IT,0.4,4,1
490,Financial Services,0.8,2,0
491,Financial Services,0.2,2,0
492,Health,0.7,3,0
493,Health,0.7,3,0
494,Manufacturing,0.5,5,1
495,Health,0.9,3,0
496,Health,0.6,3,0
497,Property,0.7,6,2
498,Financial Services,0.9,2,0
499,Financial Services,0.6,2,0
500,IT,0.8,4,1
501,Manufacturing,0.9,5,1
502,Entertainment,0.3,1,0
503,Financial Services,0.7,2,0
504,Telecommunications,0.4,8,2
505,Manufacturing,0.3,5,1
506,Financial Services,0.9,2,0
507,Financial Services,0.7,2,0
508,Financial Services,0.5,2,0
509,Retail,1.0,7,2
510,Retail,1.0,7,2
511,Manufacturing,0.7,5,1
512,Manufacturing,0.6,5,1
513,Retail,0.9,7,2
514,Manufacturing,0.7,5,1
515,Health,0.8,3,0
516,Health,0.6,3,0
517,Retail,0.7,7,2
518,Telecommunications,0.7,8,2
519,Manufacturing,0.7,5,1
520,Telecommunications,0.4,8,2
521,Manufacturing,0.9,5,1
522,Health,0.4,3,0
523,Retail,0.4,7,2
524,Entertainment,0.3,1,0
525,Financial Services,0.3,2,0
526,Entertainment,0.5,1,0
527,Manufacturing,0.7,5,1
528,Retail,0.4,7,2
529,Health,0.8,3,0
530,Health,0.1,3,0
531,Health,0.6,3,0
532,Property,0.3,6,2
533,Health,1.0,3,0
534,Entertainment,0.6,1,0
535,Argiculture,0.6,0,0
536,Entertainment,0.8,1,0
537,Health,0.3,3,0
538,Manufacturing,0.3,5,1
539,Retail,0.4,7,2
540,Entertainment,0.4,1,0
541,IT,0.4,4,1
542,Health,0.5,3,0
543,Health,0.9,3,0
544,Health,0.8,3,0
545,Financial Services,0.5,2,0
546,IT,0.8,4,1
547,Manufacturing,0.0,5,1
548,Health,0.8,3,0
549,Property,0.7,6,2
550,Financial Services,1.0,2,0
551,Health,0.7,3,0
552,Financial Services,0.5,2,0
553,Telecommunications,1.0,8,2
554,Argiculture,0.5,0,0
555,Financial Services,0.8,2,0
556,Retail,0.3,7,2
557,Health,0.2,3,0
558,Health,0.0,3,0
559,Manufacturing,0.5,5,1
560,IT,0.4,4,1
561,Manufacturing,0.6,5,1
562,Argiculture,0.5,0,0
563,Manufacturing,0.4,5,1
564,Health,0.6,3,0
565,Retail,0.7,7,2
566,Financial Services,0.7,2,0
567,Property,0.2,6,2
568,Retail,0.4,7,2
569,Health,0.5,3,0
570,Manufacturing,0.5,5,1
571,Health,1.0,3,0
572,Financial Services,0.6,2,0
573,Health,0.4,3,0
574,Property,0.3,6,2
575,Retail,0.7,7,2
576,Financial Services,0.6,2,0
577,Manufacturing,0.3,5,1
578,Manufacturing,0.3,5,1
579,Property,0.4,6,2
580,Entertainment,0.1,1,0
581,Argiculture,0.0,0,0
582,Manufacturing,0.7,5,1
583,Manufacturing,0.7,5,1
584,Financial Services,0.1,2,0
585,Manufacturing,0.4,5,1
586,Health,0.8,3,0
587,Financial Services,0.4,2,0
588,Retail,0.0,7,2
589,Manufacturing,0.3,5,1
590,Manufacturing,0.9,5,1
591,Health,0.7,3,0
592,Entertainment,0.8,1,0
593,Financial Services,0.6,2,0
594,Health,0.4,3,0
595,Property,0.7,6,2
596,Health,0.9,3,0
597,Manufacturing,0.9,5,1
598,Telecommunications,0.7,8,2
599,Property,0.5,6,2
600,Health,0.4,3,0
601,Health,0.3,3,0
602,Health,0.6,3,0
603,Retail,0.6,7,2
604,Health,0.2,3,0
605,Financial Services,0.3,2,0
606,Property,1.0,6,2
607,Property,0.1,6,2
608,Manufacturing,0.7,5,1
609,Argiculture,0.5,0,0
610,Health,0.8,3,0
611,Manufacturing,0.6,5,1
612,Health,0.6,3,0
613,Health,1.0,3,0
614,Manufacturing,0.4,5,1
615,Financial Services,0.7,2,0
616,Manufacturing,0.8,5,1
617,Manufacturing,0.8,5,1
618,Manufacturing,0.8,5,1
619,Argiculture,0.8,0,0
620,Manufacturing,0.6,5,1
621,Health,0.5,3,0
622,Manufacturing,0.5,5,1
623,Financial Services,0.7,2,0
624,Manufacturing,0.5,5,1
625,Property,0.5,6,2
626,Manufacturing,0.3,5,1
627,Manufacturing,0.5,5,1
628,Property,0.2,6,2
629,Manufacturing,0.1,5,1
630,Property,0.5,6,2
631,Financial Services,0.8,2,0
632,Health,0.6,3,0
633,Financial Services,0.2,2,0
634,Financial Services,0.9,2,0
635,Health,0.6,3,0
636,Health,0.3,3,0
637,Retail,0.5,7,2
638,Telecommunications,0.6,8,2
639,Health,1.0,3,0
640,Manufacturing,0.4,5,1
641,Entertainment,0.1,1,0
642,Manufacturing,0.4,5,1
643,Manufacturing,0.6,5,1
644,Financial Services,0.0,2,0
645,Property,0.6,6,2
646,Financial Services,0.5,2,0
647,Entertainment,0.5,1,0
648,Retail,0.6,7,2
649,Property,0.3,6,2
650,Financial Services,1.0,2,0
651,Retail,0.4,7,2
652,Retail,0.1,7,2
653,Entertainment,0.7,1,0
654,Manufacturing,0.4,5,1
655,IT,0.1,4,1
656,Health,0.8,3,0
657,Health,0.8,3,0
658,Manufacturing,0.7,5,1
659,Financial Services,0.7,2,0
660,Health,0.6,3,0
661,Health,1.0,3,0
662,Financial Services,0.1,2,0
663,Health,0.7,3,0
664,Retail,0.7,7,2
665,Retail,0.3,7,2
666,Financial Services,0.8,2,0
667,Health,0.6,3,0
668,Health,0.1,3,0
669,Manufacturing,0.7,5,1
670,Manufacturing,0.5,5,1
671,Entertainment,0.9,1,0
672,Financial Services,0.9,2,0
673,Financial Services,0.7,2,0
674,Entertainment,0.3,1,0
675,Financial Services,0.7,2,0
676,Manufacturing,1.0,5,1
677,Property,0.4,6,2
678,Financial Services,0.9,2,0
679,Manufacturing,0.6,5,1
680,Financial Services,0.4,2,0
681,Financial Services,0.6,2,0
682,Manufacturing,0.3,5,1
683,Health,0.8,3,0
684,Manufacturing,0.7,5,1
685,Financial Services,0.4,2,0
686,Property,0.6,6,2
687,Manufacturing,0.7,5,1
688,Financial Services,1.0,2,0
689,Property,0.7,6,2
690,Health,1.0,3,0
691,Property,0.3,6,2
692,Financial Services,0.9,2,0
693,Manufacturing,0.9,5,1
694,Manufacturing,0.5,5,1
695,Health,0.7,3,0
696,Property,0.3,6,2
697,Telecommunications,0.3,8,2
698,IT,0.5,4,1
699,Manufacturing,0.6,5,1
700,Health,0.1,3,0
701,Manufacturing,0.6,5,1
702,Manufacturing,0.8,5,1
703,Retail,0.7,7,2
704,Manufacturing,0.5,5,1
705,Manufacturing,0.8,5,1
706,IT,0.4,4,1
707,Health,0.4,3,0
708,Retail,0.6,7,2
709,Manufacturing,0.1,5,1
710,Entertainment,0.8,1,0
711,Entertainment,0.6,1,0
712,Financial Services,0.7,2,0
713,Health,0.3,3,0
714,Health,0.3,3,0
715,Manufacturing,0.8,5,1
716,Argiculture,0.4,0,0
717,Manufacturing,0.7,5,1
718,Retail,0.9,7,2
719,Manufacturing,0.6,5,1
720,Financial Services,0.9,2,0
721,Financial Services,0.4,2,0
722,Retail,0.7,7,2
723,Health,1.0,3,0
724,Manufacturing,0.9,5,1
725,Retail,0.8,7,2
726,Retail,0.0,7,2
727,Manufacturing,0.6,5,1
728,Financial Services,0.3,2,0
729,Retail,0.2,7,2
730,Manufacturing,0.7,5,1
731,Manufacturing,0.4,5,1
732,Financial Services,0.7,2,0
733,Manufacturing,0.4,5,1
734,Argiculture,0.4,0,0
735,IT,0.6,4,1
736,Property,0.7,6,2
737,Property,0.5,6,2
738,Financial Services,0.8,2,0
739,Manufacturing,0.4,5,1
740,Entertainment,0.0,1,0
741,Manufacturing,0.7,5,1
742,Health,0.5,3,0
743,Retail,0.4,7,2
744,Health,0.3,3,0
745,Property,0.5,6,2
746,Financial Services,1.0,2,0
747,Manufacturing,0.7,5,1
748,Entertainment,0.6,1,0
749,Financial Services,0.2,2,0
750,Manufacturing,0.4,5,1
751,Retail,0.4,7,2
752,Manufacturing,0.3,5,1
753,Manufacturing,0.1,5,1
754,Property,0.4,6,2
755,Financial Services,0.7,2,0
756,Manufacturing,0.7,5,1
757,Property,0.3,6,2
758,Property,0.5,6,2
759,Financial Services,0.5,2,0
760,Manufacturing,0.8,5,1
761,Manufacturing,0.8,5,1
762,Health,0.3,3,0
763,Health,0.4,3,0
764,Manufacturing,0.3,5,1
765,Health,0.3,3,0
766,Argiculture,0.4,0,0
767,Entertainment,0.5,1,0
768,Manufacturing,0.6,5,1
769,Manufacturing,0.6,5,1
770,Financial Services,0.3,2,0
771,Manufacturing,0.8,5,1
772,Manufacturing,0.1,5,1
773,Property,0.9,6,2
774,Retail,0.1,7,2
775,Financial Services,0.5,2,0
776,Manufacturing,0.5,5,1
777,Property,0.3,6,2
778,Health,0.6,3,0
779,Entertainment,0.7,1,0
780,Property,0.0,6,2
781,Financial Services,0.7,2,0
782,Financial Services,0.0,2,0
783,Financial Services,0.4,2,0
784,Property,0.8,6,2
785,Manufacturing,0.6,5,1
786,Property,0.3,6,2
787,Health,0.2,3,0
788,Financial Services,0.7,2,0
789,Property,0.4,6,2
790,Retail,0.2,7,2
791,Financial Services,0.5,2,0
792,Financial Services,0.9,2,0
793,Health,0.5,3,0
794,Argiculture,0.2,0,0
795,Health,0.9,3,0
796,Financial Services,0.7,2,0
797,Health,0.8,3,0
798,Manufacturing,0.3,5,1
799,Health,0.4,3,0
800,Financial Services,0.4,2,0
801,Manufacturing,0.2,5,1
802,Argiculture,0.9,0,0
803,Manufacturing,0.8,5,1
804,Financial Services,0.5,2,0
805,Health,0.6,3,0
806,Financial Services,0.6,2,0
807,Retail,0.3,7,2
808,Argiculture,0.9,0,0
809,Manufacturing,0.1,5,1
810,Financial Services,0.6,2,0
811,Financial Services,0.2,2,0
812,Manufacturing,0.7,5,1
813,Financial Services,0.7,2,0
814,Retail,0.5,7,2
815,Manufacturing,0.6,5,1
816,Health,0.4,3,0
817,Manufacturing,0.6,5,1
818,IT,0.9,4,1
819,Entertainment,0.8,1,0
820,Manufacturing,0.6,5,1
821,Health,0.6,3,0
822,Manufacturing,0.8,5,1
823,Argiculture,0.6,0,0
824,Manufacturing,0.8,5,1
825,Property,0.2,6,2
826,Health,0.9,3,0
827,Manufacturing,0.4,5,1
828,Health,0.9,3,0
829,Financial Services,0.8,2,0
830,Financial Services,0.9,2,0
831,Financial Services,0.4,2,0
832,Health,0.8,3,0
833,Manufacturing,1.0,5,1
834,Telecommunications,0.3,8,2
835,Property,0.7,6,2
836,Retail,0.9,7,2
837,Health,0.9,3,0
838,Manufacturing,0.7,5,1
839,Financial Services,0.5,2,0
840,Retail,0.5,7,2
841,Manufacturing,1.0,5,1
842,Telecommunications,0.9,8,2
843,Telecommunications,0.8,8,2
844,Manufacturing,0.8,5,1
845,Manufacturing,0.4,5,1
846,Financial Services,0.8,2,0
847,Manufacturing,0.9,5,1
848,Manufacturing,0.7,5,1
849,Health,0.7,3,0
850,Financial Services,0.3,2,0
851,Property,0.6,6,2
852,Health,0.4,3,0
853,Financial Services,0.9,2,0
854,Financial Services,0.9,2,0
855,Financial Services,0.3,2,0
856,Retail,0.5,7,2
857,Financial Services,0.5,2,0
858,Health,0.9,3,0
859,Health,0.1,3,0
860,Health,1.0,3,0
861,Manufacturing,0.4,5,1
862,Health,0.9,3,0
863,Financial Services,0.2,2,0
864,Manufacturing,0.7,5,1
865,Retail,0.7,7,2
866,Retail,0.9,7,2
867,Retail,0.9,7,2
868,Financial Services,0.5,2,0
869,Argiculture,0.4,0,0
870,Manufacturing,0.6,5,1
871,Property,0.7,6,2
872,Financial Services,0.4,2,0
873,Manufacturing,0.1,5,1
874,Financial Services,0.6,2,0
875,Property,0.3,6,2
876,Financial Services,1.0,2,0
877,Financial Services,0.1,2,0
878,Health,0.5,3,0
879,Financial Services,0.6,2,0
880,Health,0.5,3,0
881,Health,0.3,3,0
882,Financial Services,0.7,2,0
883,Financial Services,0.7,2,0
884,Property,0.3,6,2
885,Property,0.2,6,2
886,Financial Services,0.1,2,0
887,Health,0.5,3,0
888,Manufacturing,0.4,5,1
889,Financial Services,0.9,2,0
890,Financial Services,0.4,2,0
891,Manufacturing,0.4,5,1
892,Financial Services,0.6,2,0
893,Financial Services,0.4,2,0
894,Health,0.2,3,0
895,Financial Services,0.9,2,0
896,Financial Services,0.2,2,0
897,Health,0.8,3,0
898,IT,0.6,4,1
899,Financial Services,0.7,2,0
900,Manufacturing,0.9,5,1
901,Manufacturing,0.6,5,1
902,Financial Services,0.5,2,0
903,Manufacturing,0.4,5,1
904,Financial Services,0.4,2,0
905,Property,0.9,6,2
906,Health,0.2,3,0
907,IT,0.4,4,1
908,Health,0.6,3,0
909,Health,0.4,3,0
910,Property,0.7,6,2
911,Financial Services,0.7,2,0
912,Financial Services,0.3,2,0
913,Retail,0.6,7,2
914,Entertainment,0.1,1,0
915,Health,0.4,3,0
916,Manufacturing,0.5,5,1
917,Financial Services,0.7,2,0
918,Property,0.6,6,2
919,Health,0.3,3,0
920,Health,0.5,3,0
921,Health,0.3,3,0
922,Argiculture,0.3,0,0
