,owns_car,RFM_Score ,owns_car_encoded,cluster
203,Yes,0.6,1,1
204,No,0.8,0,0
205,Yes,0.5,1,1
206,Yes,0.0,1,1
207,No,0.2,0,2
208,No,0.6,0,0
209,No,0.6,0,0
210,No,0.1,0,2
211,No,0.6,0,0
212,Yes,0.8,1,1
213,No,0.9,0,0
214,Yes,0.3,1,1
215,Yes,0.7,1,1
216,Yes,0.7,1,1
217,No,0.0,0,2
218,Yes,0.0,1,1
219,No,0.8,0,0
220,No,0.5,0,2
221,Yes,0.4,1,1
222,Yes,1.0,1,1
223,No,0.5,0,2
224,Yes,0.7,1,1
225,No,0.8,0,0
226,Yes,0.6,1,1
227,Yes,0.4,1,1
228,No,0.6,0,0
229,No,0.7,0,0
230,No,0.8,0,0
231,Yes,0.3,1,1
232,No,0.8,0,0
233,No,0.1,0,2
234,No,0.9,0,0
235,No,0.5,0,2
236,No,0.4,0,2
237,No,0.4,0,2
238,No,0.4,0,2
239,No,0.4,0,2
240,No,0.5,0,2
241,No,0.8,0,0
242,Yes,0.6,1,1
243,No,0.6,0,0
244,No,0.0,0,2
245,Yes,0.6,1,1
246,No,0.7,0,0
247,Yes,0.5,1,1
248,No,0.4,0,2
249,Yes,0.7,1,1
250,No,0.9,0,0
251,Yes,0.7,1,1
252,Yes,0.1,1,1
253,Yes,0.4,1,1
254,No,0.3,0,2
255,No,0.7,0,0
256,No,0.6,0,0
257,No,0.7,0,0
258,Yes,0.4,1,1
259,Yes,0.5,1,1
260,No,0.0,0,2
261,Yes,0.7,1,1
262,No,0.9,0,0
263,No,0.8,0,0
264,Yes,0.5,1,1
265,Yes,0.7,1,1
266,No,0.4,0,2
267,Yes,0.9,1,1
268,No,0.7,0,0
269,Yes,0.3,1,1
270,No,1.0,0,0
271,Yes,0.3,1,1
272,Yes,0.1,1,1
273,Yes,0.3,1,1
274,No,0.8,0,0
275,No,0.2,0,2
276,Yes,0.6,1,1
277,No,0.9,0,0
278,Yes,0.8,1,1
279,No,0.7,0,0
280,No,0.6,0,0
281,No,0.9,0,0
282,Yes,0.8,1,1
283,Yes,0.3,1,1
284,No,0.3,0,2
285,No,0.6,0,0
286,Yes,0.1,1,1
287,Yes,0.6,1,1
288,No,0.9,0,0
289,Yes,0.4,1,1
290,Yes,0.9,1,1
291,No,0.6,0,0
292,No,0.2,0,2
293,No,0.5,0,2
294,Yes,1.0,1,1
295,No,0.7,0,0
296,No,0.7,0,0
297,Yes,0.3,1,1
298,Yes,0.9,1,1
299,No,0.6,0,0
300,Yes,0.6,1,1
301,Yes,0.9,1,1
302,Yes,0.6,1,1
303,No,0.7,0,0
304,Yes,0.6,1,1
305,Yes,0.7,1,1
306,No,0.8,0,0
307,Yes,0.3,1,1
308,No,0.8,0,0
309,No,0.9,0,0
310,Yes,0.8,1,1
311,No,0.4,0,2
312,Yes,0.6,1,1
313,Yes,0.7,1,1
314,No,0.3,0,2
315,No,0.6,0,0
316,Yes,0.8,1,1
317,No,0.7,0,0
318,Yes,0.6,1,1
319,Yes,0.8,1,1
320,Yes,0.5,1,1
321,Yes,0.8,1,1
322,No,0.6,0,0
323,No,0.2,0,2
324,Yes,0.8,1,1
325,No,0.4,0,2
326,Yes,0.5,1,1
327,Yes,0.4,1,1
328,Yes,0.0,1,1
329,Yes,0.9,1,1
330,Yes,0.9,1,1
331,Yes,0.6,1,1
332,No,0.8,0,0
333,Yes,0.7,1,1
334,No,0.5,0,2
335,Yes,0.5,1,1
336,No,0.5,0,2
337,No,0.6,0,0
338,No,0.6,0,0
339,No,0.8,0,0
340,Yes,0.8,1,1
341,No,0.9,0,0
342,No,0.5,0,2
343,No,0.8,0,0
344,No,0.0,0,2
345,No,0.8,0,0
346,Yes,0.2,1,1
347,Yes,0.9,1,1
348,No,0.6,0,0
349,No,0.7,0,0
350,Yes,0.5,1,1
351,No,0.1,0,2
352,No,0.9,0,0
353,No,0.4,0,2
354,Yes,0.3,1,1
355,Yes,0.2,1,1
356,No,0.9,0,0
357,No,0.9,0,0
358,Yes,0.5,1,1
359,Yes,0.7,1,1
360,Yes,0.3,1,1
361,No,0.3,0,2
362,Yes,0.7,1,1
363,Yes,0.3,1,1
364,No,0.5,0,2
365,No,0.8,0,0
366,No,0.7,0,0
367,No,1.0,0,0
368,Yes,0.4,1,1
369,Yes,0.6,1,1
370,No,0.8,0,0
371,Yes,0.6,1,1
372,No,0.7,0,0
373,No,0.5,0,2
374,Yes,0.9,1,1
375,No,0.1,0,2
376,No,0.5,0,2
377,No,0.9,0,0
378,Yes,0.6,1,1
379,Yes,0.1,1,1
380,Yes,0.8,1,1
381,Yes,0.4,1,1
382,No,0.6,0,0
383,No,1.0,0,0
384,Yes,0.6,1,1
385,Yes,0.9,1,1
386,No,0.6,0,0
387,Yes,0.9,1,1
388,Yes,0.6,1,1
389,No,0.6,0,0
390,No,0.6,0,0
391,Yes,0.4,1,1
392,Yes,0.6,1,1
393,No,0.5,0,2
394,No,0.7,0,0
395,Yes,0.7,1,1
396,No,0.5,0,2
397,Yes,0.7,1,1
398,No,0.5,0,2
399,Yes,0.3,1,1
400,No,0.5,0,2
401,Yes,0.3,1,1
402,Yes,0.6,1,1
403,Yes,0.1,1,1
404,Yes,0.3,1,1
405,No,0.1,0,2
406,No,0.3,0,2
407,Yes,0.9,1,1
408,No,0.4,0,2
409,Yes,0.8,1,1
410,Yes,0.1,1,1
411,No,0.3,0,2
412,Yes,0.6,1,1
413,No,0.7,0,0
414,No,0.6,0,0
415,Yes,0.5,1,1
416,Yes,0.1,1,1
417,Yes,0.4,1,1
418,No,0.8,0,0
419,No,0.9,0,0
420,Yes,0.8,1,1
421,Yes,0.6,1,1
422,No,1.0,0,0
423,No,0.6,0,0
424,Yes,0.7,1,1
425,No,0.6,0,0
426,Yes,0.4,1,1
427,No,0.4,0,2
428,No,0.9,0,0
429,No,0.4,0,2
430,No,0.3,0,2
431,No,0.8,0,0
432,No,0.4,0,2
433,No,0.3,0,2
434,Yes,0.6,1,1
435,No,0.3,0,2
436,No,0.6,0,0
437,Yes,0.5,1,1
438,Yes,0.3,1,1
439,Yes,0.7,1,1
440,No,0.3,0,2
441,No,0.5,0,2
442,Yes,1.0,1,1
443,Yes,0.1,1,1
444,Yes,0.9,1,1
445,Yes,0.4,1,1
446,No,0.9,0,0
447,Yes,1.0,1,1
448,Yes,0.0,1,1
449,No,0.9,0,0
450,No,0.7,0,0
451,Yes,0.4,1,1
452,Yes,0.3,1,1
453,Yes,1.0,1,1
454,No,0.6,0,0
455,No,0.8,0,0
456,No,0.4,0,2
457,Yes,0.7,1,1
458,No,0.5,0,2
459,No,0.7,0,0
460,No,0.1,0,2
461,No,0.9,0,0
462,Yes,0.9,1,1
463,Yes,0.2,1,1
464,Yes,0.3,1,1
465,No,0.4,0,2
466,No,0.1,0,2
467,Yes,0.8,1,1
468,Yes,0.7,1,1
469,No,0.5,0,2
470,No,0.2,0,2
471,Yes,0.4,1,1
472,Yes,0.2,1,1
473,No,0.6,0,0
474,Yes,0.9,1,1
475,No,1.0,0,0
476,Yes,0.5,1,1
477,Yes,0.7,1,1
478,Yes,0.6,1,1
479,No,0.4,0,2
480,No,0.3,0,2
481,Yes,0.3,1,1
482,No,0.7,0,0
483,No,0.1,0,2
484,No,0.0,0,2
485,No,0.8,0,0
486,No,0.7,0,0
487,No,0.4,0,2
488,No,1.0,0,0
489,Yes,0.4,1,1
490,No,0.8,0,0
491,No,0.2,0,2
492,No,0.7,0,0
493,No,0.7,0,0
494,Yes,0.5,1,1
495,No,0.9,0,0
496,Yes,0.6,1,1
497,No,0.7,0,0
498,No,0.9,0,0
499,Yes,0.6,1,1
500,No,0.8,0,0
501,No,0.9,0,0
502,No,0.3,0,2
503,Yes,0.7,1,1
504,Yes,0.4,1,1
505,No,0.3,0,2
506,No,0.9,0,0
507,Yes,0.7,1,1
508,No,0.5,0,2
509,No,1.0,0,0
510,No,1.0,0,0
511,No,0.7,0,0
512,Yes,0.6,1,1
513,No,0.9,0,0
514,No,0.7,0,0
515,Yes,0.8,1,1
516,No,0.6,0,0
517,No,0.7,0,0
518,Yes,0.7,1,1
519,No,0.7,0,0
520,No,0.4,0,2
521,Yes,0.9,1,1
522,Yes,0.4,1,1
523,Yes,0.4,1,1
524,No,0.3,0,2
525,Yes,0.3,1,1
526,Yes,0.5,1,1
527,Yes,0.7,1,1
528,No,0.4,0,2
529,No,0.8,0,0
530,No,0.1,0,2
531,Yes,0.6,1,1
532,Yes,0.3,1,1
533,No,1.0,0,0
534,No,0.6,0,0
535,Yes,0.6,1,1
536,No,0.8,0,0
537,Yes,0.3,1,1
538,No,0.3,0,2
539,No,0.4,0,2
540,No,0.4,0,2
541,Yes,0.4,1,1
542,Yes,0.5,1,1
543,Yes,0.9,1,1
544,No,0.8,0,0
545,Yes,0.5,1,1
546,No,0.8,0,0
547,Yes,0.0,1,1
548,Yes,0.8,1,1
549,Yes,0.7,1,1
550,No,1.0,0,0
551,Yes,0.7,1,1
552,No,0.5,0,2
553,No,1.0,0,0
554,Yes,0.5,1,1
555,No,0.8,0,0
556,Yes,0.3,1,1
557,No,0.2,0,2
558,No,0.0,0,2
559,No,0.5,0,2
560,Yes,0.4,1,1
561,No,0.6,0,0
562,No,0.5,0,2
563,No,0.4,0,2
564,Yes,0.6,1,1
565,Yes,0.7,1,1
566,No,0.7,0,0
567,Yes,0.2,1,1
568,No,0.4,0,2
569,Yes,0.5,1,1
570,Yes,0.5,1,1
571,No,1.0,0,0
572,Yes,0.6,1,1
573,No,0.4,0,2
574,Yes,0.3,1,1
575,Yes,0.7,1,1
576,Yes,0.6,1,1
577,No,0.3,0,2
578,Yes,0.3,1,1
579,No,0.4,0,2
580,No,0.1,0,2
581,Yes,0.0,1,1
582,No,0.7,0,0
583,Yes,0.7,1,1
584,Yes,0.1,1,1
585,No,0.4,0,2
586,Yes,0.8,1,1
587,Yes,0.4,1,1
588,No,0.0,0,2
589,Yes,0.3,1,1
590,No,0.9,0,0
591,Yes,0.7,1,1
592,No,0.8,0,0
593,Yes,0.6,1,1
594,No,0.4,0,2
595,No,0.7,0,0
596,Yes,0.9,1,1
597,Yes,0.9,1,1
598,No,0.7,0,0
599,Yes,0.5,1,1
600,Yes,0.4,1,1
601,No,0.3,0,2
602,No,0.6,0,0
603,No,0.6,0,0
604,No,0.2,0,2
605,No,0.3,0,2
606,No,1.0,0,0
607,No,0.1,0,2
608,No,0.7,0,0
609,Yes,0.5,1,1
610,Yes,0.8,1,1
611,Yes,0.6,1,1
612,Yes,0.6,1,1
613,Yes,1.0,1,1
614,Yes,0.4,1,1
615,No,0.7,0,0
616,Yes,0.8,1,1
617,No,0.8,0,0
618,No,0.8,0,0
619,No,0.8,0,0
620,Yes,0.6,1,1
621,Yes,0.5,1,1
622,No,0.5,0,2
623,No,0.7,0,0
624,No,0.5,0,2
625,Yes,0.5,1,1
626,Yes,0.3,1,1
627,No,0.5,0,2
628,Yes,0.2,1,1
629,Yes,0.1,1,1
630,Yes,0.5,1,1
631,No,0.8,0,0
632,No,0.6,0,0
633,Yes,0.2,1,1
634,No,0.9,0,0
635,No,0.6,0,0
636,No,0.3,0,2
637,Yes,0.5,1,1
638,No,0.6,0,0
639,No,1.0,0,0
640,No,0.4,0,2
641,Yes,0.1,1,1
642,No,0.4,0,2
643,Yes,0.6,1,1
644,No,0.0,0,2
645,No,0.6,0,0
646,No,0.5,0,2
647,Yes,0.5,1,1
648,No,0.6,0,0
649,No,0.3,0,2
650,No,1.0,0,0
651,Yes,0.4,1,1
652,No,0.1,0,2
653,No,0.7,0,0
654,Yes,0.4,1,1
655,Yes,0.1,1,1
656,Yes,0.8,1,1
657,No,0.8,0,0
658,Yes,0.7,1,1
659,Yes,0.7,1,1
660,Yes,0.6,1,1
661,No,1.0,0,0
662,No,0.1,0,2
663,No,0.7,0,0
664,Yes,0.7,1,1
665,No,0.3,0,2
666,No,0.8,0,0
667,No,0.6,0,0
668,No,0.1,0,2
669,Yes,0.7,1,1
670,Yes,0.5,1,1
671,Yes,0.9,1,1
672,No,0.9,0,0
673,No,0.7,0,0
674,Yes,0.3,1,1
675,No,0.7,0,0
676,No,1.0,0,0
677,Yes,0.4,1,1
678,Yes,0.9,1,1
679,Yes,0.6,1,1
680,Yes,0.4,1,1
681,No,0.6,0,0
682,No,0.3,0,2
683,Yes,0.8,1,1
684,Yes,0.7,1,1
685,No,0.4,0,2
686,No,0.6,0,0
687,Yes,0.7,1,1
688,Yes,1.0,1,1
689,Yes,0.7,1,1
690,No,1.0,0,0
691,Yes,0.3,1,1
692,No,0.9,0,0
693,No,0.9,0,0
694,Yes,0.5,1,1
695,No,0.7,0,0
696,Yes,0.3,1,1
697,No,0.3,0,2
698,No,0.5,0,2
699,Yes,0.6,1,1
700,No,0.1,0,2
701,No,0.6,0,0
702,No,0.8,0,0
703,No,0.7,0,0
704,Yes,0.5,1,1
705,No,0.8,0,0
706,No,0.4,0,2
707,Yes,0.4,1,1
708,Yes,0.6,1,1
709,Yes,0.1,1,1
710,No,0.8,0,0
711,Yes,0.6,1,1
712,No,0.7,0,0
713,Yes,0.3,1,1
714,No,0.3,0,2
715,No,0.8,0,0
716,Yes,0.4,1,1
717,Yes,0.7,1,1
718,No,0.9,0,0
719,Yes,0.6,1,1
720,Yes,0.9,1,1
721,No,0.4,0,2
722,No,0.7,0,0
723,No,1.0,0,0
724,Yes,0.9,1,1
725,No,0.8,0,0
726,No,0.0,0,2
727,No,0.6,0,0
728,Yes,0.3,1,1
729,Yes,0.2,1,1
730,Yes,0.7,1,1
731,No,0.4,0,2
732,Yes,0.7,1,1
733,Yes,0.4,1,1
734,No,0.4,0,2
735,Yes,0.6,1,1
736,Yes,0.7,1,1
737,Yes,0.5,1,1
738,Yes,0.8,1,1
739,No,0.4,0,2
740,No,0.0,0,2
741,Yes,0.7,1,1
742,No,0.5,0,2
743,Yes,0.4,1,1
744,No,0.3,0,2
745,No,0.5,0,2
746,Yes,1.0,1,1
747,Yes,0.7,1,1
748,No,0.6,0,0
749,No,0.2,0,2
750,Yes,0.4,1,1
751,Yes,0.4,1,1
752,No,0.3,0,2
753,Yes,0.1,1,1
754,No,0.4,0,2
755,Yes,0.7,1,1
756,Yes,0.7,1,1
757,Yes,0.3,1,1
758,No,0.5,0,2
759,No,0.5,0,2
760,Yes,0.8,1,1
761,No,0.8,0,0
762,Yes,0.3,1,1
763,Yes,0.4,1,1
764,No,0.3,0,2
765,Yes,0.3,1,1
766,No,0.4,0,2
767,Yes,0.5,1,1
768,No,0.6,0,0
769,No,0.6,0,0
770,Yes,0.3,1,1
771,Yes,0.8,1,1
772,No,0.1,0,2
773,No,0.9,0,0
774,Yes,0.1,1,1
775,No,0.5,0,2
776,No,0.5,0,2
777,Yes,0.3,1,1
778,Yes,0.6,1,1
779,Yes,0.7,1,1
780,Yes,0.0,1,1
781,Yes,0.7,1,1
782,Yes,0.0,1,1
783,Yes,0.4,1,1
784,No,0.8,0,0
785,No,0.6,0,0
786,Yes,0.3,1,1
787,Yes,0.2,1,1
788,Yes,0.7,1,1
789,Yes,0.4,1,1
790,No,0.2,0,2
791,Yes,0.5,1,1
792,No,0.9,0,0
793,No,0.5,0,2
794,No,0.2,0,2
795,No,0.9,0,0
796,Yes,0.7,1,1
797,No,0.8,0,0
798,Yes,0.3,1,1
799,No,0.4,0,2
800,Yes,0.4,1,1
801,No,0.2,0,2
802,No,0.9,0,0
803,No,0.8,0,0
804,Yes,0.5,1,1
805,No,0.6,0,0
806,Yes,0.6,1,1
807,Yes,0.3,1,1
808,Yes,0.9,1,1
809,No,0.1,0,2
810,Yes,0.6,1,1
811,No,0.2,0,2
812,Yes,0.7,1,1
813,No,0.7,0,0
814,No,0.5,0,2
815,No,0.6,0,0
816,No,0.4,0,2
817,No,0.6,0,0
818,No,0.9,0,0
819,No,0.8,0,0
820,Yes,0.6,1,1
821,Yes,0.6,1,1
822,Yes,0.8,1,1
823,Yes,0.6,1,1
824,No,0.8,0,0
825,No,0.2,0,2
826,Yes,0.9,1,1
827,Yes,0.4,1,1
828,Yes,0.9,1,1
829,No,0.8,0,0
830,No,0.9,0,0
831,No,0.4,0,2
832,Yes,0.8,1,1
833,No,1.0,0,0
834,Yes,0.3,1,1
835,No,0.7,0,0
836,Yes,0.9,1,1
837,No,0.9,0,0
838,Yes,0.7,1,1
839,Yes,0.5,1,1
840,Yes,0.5,1,1
841,No,1.0,0,0
842,Yes,0.9,1,1
843,No,0.8,0,0
844,No,0.8,0,0
845,No,0.4,0,2
846,No,0.8,0,0
847,Yes,0.9,1,1
848,No,0.7,0,0
849,No,0.7,0,0
850,Yes,0.3,1,1
851,No,0.6,0,0
852,Yes,0.4,1,1
853,No,0.9,0,0
854,No,0.9,0,0
855,Yes,0.3,1,1
856,No,0.5,0,2
857,No,0.5,0,2
858,No,0.9,0,0
859,Yes,0.1,1,1
860,No,1.0,0,0
861,No,0.4,0,2
862,No,0.9,0,0
863,Yes,0.2,1,1
864,No,0.7,0,0
865,Yes,0.7,1,1
866,No,0.9,0,0
867,No,0.9,0,0
868,No,0.5,0,2
869,No,0.4,0,2
870,No,0.6,0,0
871,No,0.7,0,0
872,No,0.4,0,2
873,Yes,0.1,1,1
874,Yes,0.6,1,1
875,No,0.3,0,2
876,No,1.0,0,0
877,Yes,0.1,1,1
878,Yes,0.5,1,1
879,No,0.6,0,0
880,Yes,0.5,1,1
881,No,0.3,0,2
882,No,0.7,0,0
883,Yes,0.7,1,1
884,No,0.3,0,2
885,Yes,0.2,1,1
886,No,0.1,0,2
887,Yes,0.5,1,1
888,Yes,0.4,1,1
889,Yes,0.9,1,1
890,Yes,0.4,1,1
891,Yes,0.4,1,1
892,Yes,0.6,1,1
893,Yes,0.4,1,1
894,No,0.2,0,2
895,Yes,0.9,1,1
896,Yes,0.2,1,1
897,No,0.8,0,0
898,No,0.6,0,0
899,Yes,0.7,1,1
900,Yes,0.9,1,1
901,No,0.6,0,0
902,Yes,0.5,1,1
903,No,0.4,0,2
904,Yes,0.4,1,1
905,Yes,0.9,1,1
906,Yes,0.2,1,1
907,Yes,0.4,1,1
908,No,0.6,0,0
909,No,0.4,0,2
910,Yes,0.7,1,1
911,No,0.7,0,0
912,Yes,0.3,1,1
913,Yes,0.6,1,1
914,Yes,0.1,1,1
915,No,0.4,0,2
916,Yes,0.5,1,1
917,No,0.7,0,0
918,Yes,0.6,1,1
919,Yes,0.3,1,1
920,Yes,0.5,1,1
921,No,0.3,0,2
922,No,0.3,0,2
923,Yes,0.6,1,1
924,Yes,0.4,1,1
925,No,0.3,0,2
926,Yes,0.6,1,1
927,No,0.0,0,2
928,Yes,0.4,1,1
929,No,0.6,0,0
930,No,0.3,0,2
931,No,0.5,0,2
932,No,0.5,0,2
933,No,0.3,0,2
934,No,0.6,0,0
935,No,0.6,0,0
936,No,0.7,0,0
937,Yes,0.3,1,1
938,Yes,1.0,1,1
939,Yes,0.7,1,1
940,No,0.5,0,2
941,No,0.7,0,0
942,Yes,0.6,1,1
943,Yes,0.6,1,1
944,No,0.0,0,2
945,Yes,0.4,1,1
946,No,0.7,0,0
947,No,0.5,0,2
948,Yes,0.2,1,1
949,Yes,0.5,1,1
950,Yes,0.3,1,1
951,No,0.4,0,2
952,Yes,0.3,1,1
953,Yes,0.4,1,1
954,No,0.2,0,2
955,Yes,0.9,1,1
956,No,0.7,0,0
957,No,0.4,0,2
958,Yes,0.9,1,1
959,Yes,0.4,1,1
960,No,0.3,0,2
961,Yes,0.7,1,1
962,Yes,0.4,1,1
963,No,0.7,0,0
964,Yes,0.7,1,1
965,No,0.8,0,0
966,Yes,0.9,1,1
967,Yes,0.3,1,1
968,No,0.3,0,2
969,No,0.7,0,0
970,Yes,0.6,1,1
971,No,0.8,0,0
972,Yes,1.0,1,1
973,No,0.6,0,0
974,No,0.9,0,0
975,Yes,0.8,1,1
976,Yes,0.3,1,1
977,Yes,0.6,1,1
978,No,0.0,0,2
979,Yes,0.9,1,1
980,Yes,0.6,1,1
981,Yes,0.6,1,1
982,No,0.6,0,0
983,Yes,0.8,1,1
984,Yes,0.3,1,1
985,Yes,0.3,1,1
986,No,0.7,0,0
987,Yes,0.5,1,1
988,Yes,0.8,1,1
989,No,0.6,0,0
990,No,0.4,0,2
991,Yes,0.7,1,1
992,No,0.3,0,2
993,No,0.7,0,0
994,No,0.6,0,0
995,No,0.9,0,0
996,No,0.7,0,0
997,Yes,0.6,1,1
998,Yes,0.2,1,1
999,Yes,0.6,1,1
1000,Yes,0.5,1,1
1001,No,0.9,0,0
1002,Yes,0.1,1,1
1003,No,0.2,0,2
1004,No,0.9,0,0
1005,Yes,0.6,1,1
1006,Yes,0.4,1,1
1007,Yes,0.3,1,1
1008,Yes,0.5,1,1
1009,No,0.7,0,0
1010,No,0.4,0,2
1011,Yes,0.4,1,1
1012,No,0.6,0,0
1013,Yes,0.5,1,1
1014,No,0.6,0,0
1015,No,0.8,0,0
1016,No,0.5,0,2
1017,Yes,0.9,1,1
1018,Yes,0.9,1,1
1019,No,0.6,0,0
1020,No,0.9,0,0
1021,No,0.4,0,2
1022,No,0.6,0,0
1023,Yes,0.8,1,1
1024,No,0.7,0,0
1025,Yes,0.9,1,1
1026,Yes,0.9,1,1
1027,No,0.7,0,0
1028,No,0.7,0,0
1029,Yes,0.6,1,1
1030,Yes,0.5,1,1
1031,No,0.3,0,2
1032,Yes,0.4,1,1
1033,Yes,0.5,1,1
1034,No,0.3,0,2
1035,Yes,0.9,1,1
1036,Yes,0.1,1,1
1037,Yes,0.7,1,1
1038,No,0.8,0,0
1039,Yes,0.9,1,1
1040,Yes,0.7,1,1
1041,No,0.7,0,0
1042,No,0.4,0,2
1043,Yes,0.6,1,1
1044,No,0.7,0,0
1045,Yes,0.3,1,1
1046,Yes,0.3,1,1
1047,Yes,0.4,1,1
1048,No,0.2,0,2
1049,Yes,0.8,1,1
1050,Yes,0.3,1,1
1051,No,0.1,0,2
1052,Yes,0.8,1,1
1053,No,0.4,0,2
1054,Yes,0.2,1,1
1055,No,0.7,0,0
1056,No,0.8,0,0
1057,No,0.7,0,0
1058,Yes,0.4,1,1
1059,No,0.4,0,2
1060,Yes,0.8,1,1
1061,Yes,0.9,1,1
1062,No,0.7,0,0
1063,Yes,0.8,1,1
1064,Yes,0.7,1,1
1065,No,0.5,0,2
1066,No,0.4,0,2
1067,Yes,0.3,1,1
1068,Yes,0.1,1,1
