,state,RFM_Score ,state_encoded,cluster
268,NSW,0.7,0,0
269,NSW,0.3,0,0
270,NSW,1.0,0,0
271,NSW,0.3,0,0
272,NSW,0.1,0,0
273,NSW,0.3,0,0
274,VIC,0.8,2,1
275,NSW,0.2,0,0
276,VIC,0.6,2,1
277,NSW,0.9,0,0
278,QLD,0.8,1,2
279,VIC,0.7,2,1
280,QLD,0.6,1,2
281,NSW,0.9,0,0
282,NSW,0.8,0,0
283,NSW,0.3,0,0
284,VIC,0.3,2,1
285,NSW,0.6,0,0
286,NSW,0.1,0,0
287,VIC,0.6,2,1
288,NSW,0.9,0,0
289,NSW,0.4,0,0
290,VIC,0.9,2,1
291,NSW,0.6,0,0
292,QLD,0.2,1,2
293,NSW,0.5,0,0
294,QLD,1.0,1,2
295,VIC,0.7,2,1
296,NSW,0.7,0,0
297,NSW,0.3,0,0
298,NSW,0.9,0,0
299,NSW,0.6,0,0
300,NSW,0.6,0,0
301,NSW,0.9,0,0
302,NSW,0.6,0,0
303,NSW,0.7,0,0
304,NSW,0.6,0,0
305,NSW,0.7,0,0
306,QLD,0.8,1,2
307,VIC,0.3,2,1
308,QLD,0.8,1,2
309,NSW,0.9,0,0
310,NSW,0.8,0,0
311,VIC,0.4,2,1
312,QLD,0.6,1,2
313,NSW,0.7,0,0
314,NSW,0.3,0,0
315,NSW,0.6,0,0
316,NSW,0.8,0,0
317,NSW,0.7,0,0
318,NSW,0.6,0,0
319,VIC,0.8,2,1
320,QLD,0.5,1,2
321,VIC,0.8,2,1
322,QLD,0.6,1,2
323,QLD,0.2,1,2
324,VIC,0.8,2,1
325,VIC,0.4,2,1
326,NSW,0.5,0,0
327,NSW,0.4,0,0
328,NSW,0.0,0,0
329,NSW,0.9,0,0
330,QLD,0.9,1,2
331,NSW,0.6,0,0
332,VIC,0.8,2,1
333,QLD,0.7,1,2
334,NSW,0.5,0,0
335,NSW,0.5,0,0
336,NSW,0.5,0,0
337,NSW,0.6,0,0
338,NSW,0.6,0,0
339,VIC,0.8,2,1
340,VIC,0.8,2,1
341,QLD,0.9,1,2
342,VIC,0.5,2,1
343,QLD,0.8,1,2
344,VIC,0.0,2,1
345,VIC,0.8,2,1
346,NSW,0.2,0,0
347,NSW,0.9,0,0
348,NSW,0.6,0,0
349,QLD,0.7,1,2
350,NSW,0.5,0,0
351,QLD,0.1,1,2
352,QLD,0.9,1,2
353,NSW,0.4,0,0
354,NSW,0.3,0,0
355,NSW,0.2,0,0
356,NSW,0.9,0,0
357,QLD,0.9,1,2
358,VIC,0.5,2,1
359,NSW,0.7,0,0
360,NSW,0.3,0,0
361,QLD,0.3,1,2
362,NSW,0.7,0,0
363,NSW,0.3,0,0
364,NSW,0.5,0,0
365,QLD,0.8,1,2
366,NSW,0.7,0,0
367,QLD,1.0,1,2
368,VIC,0.4,2,1
369,NSW,0.6,0,0
370,NSW,0.8,0,0
371,QLD,0.6,1,2
372,QLD,0.7,1,2
373,NSW,0.5,0,0
374,NSW,0.9,0,0
375,VIC,0.1,2,1
376,VIC,0.5,2,1
377,NSW,0.9,0,0
378,VIC,0.6,2,1
379,NSW,0.1,0,0
380,NSW,0.8,0,0
381,NSW,0.4,0,0
382,QLD,0.6,1,2
383,VIC,1.0,2,1
384,NSW,0.6,0,0
385,NSW,0.9,0,0
386,NSW,0.6,0,0
387,NSW,0.9,0,0
388,QLD,0.6,1,2
389,NSW,0.6,0,0
390,NSW,0.6,0,0
391,NSW,0.4,0,0
392,NSW,0.6,0,0
393,NSW,0.5,0,0
394,NSW,0.7,0,0
395,NSW,0.7,0,0
396,VIC,0.5,2,1
397,NSW,0.7,0,0
398,NSW,0.5,0,0
399,NSW,0.3,0,0
400,NSW,0.5,0,0
401,NSW,0.3,0,0
402,NSW,0.6,0,0
403,NSW,0.1,0,0
404,NSW,0.3,0,0
405,NSW,0.1,0,0
406,NSW,0.3,0,0
407,QLD,0.9,1,2
408,NSW,0.4,0,0
409,NSW,0.8,0,0
410,NSW,0.1,0,0
411,QLD,0.3,1,2
412,VIC,0.6,2,1
413,NSW,0.7,0,0
414,NSW,0.6,0,0
415,VIC,0.5,2,1
416,NSW,0.1,0,0
417,NSW,0.4,0,0
418,QLD,0.8,1,2
419,NSW,0.9,0,0
420,QLD,0.8,1,2
421,NSW,0.6,0,0
422,VIC,1.0,2,1
423,NSW,0.6,0,0
424,NSW,0.7,0,0
425,NSW,0.6,0,0
426,NSW,0.4,0,0
427,QLD,0.4,1,2
428,NSW,0.9,0,0
429,VIC,0.4,2,1
430,QLD,0.3,1,2
431,NSW,0.8,0,0
432,NSW,0.4,0,0
433,NSW,0.3,0,0
434,NSW,0.6,0,0
435,VIC,0.3,2,1
436,NSW,0.6,0,0
437,NSW,0.5,0,0
438,NSW,0.3,0,0
439,NSW,0.7,0,0
440,NSW,0.3,0,0
441,VIC,0.5,2,1
442,VIC,1.0,2,1
443,NSW,0.1,0,0
444,VIC,0.9,2,1
445,QLD,0.4,1,2
446,QLD,0.9,1,2
447,VIC,1.0,2,1
448,NSW,0.0,0,0
449,NSW,0.9,0,0
450,NSW,0.7,0,0
451,NSW,0.4,0,0
452,NSW,0.3,0,0
453,QLD,1.0,1,2
454,VIC,0.6,2,1
455,VIC,0.8,2,1
456,QLD,0.4,1,2
457,QLD,0.7,1,2
458,NSW,0.5,0,0
459,QLD,0.7,1,2
460,QLD,0.1,1,2
461,VIC,0.9,2,1
462,VIC,0.9,2,1
463,QLD,0.2,1,2
464,VIC,0.3,2,1
465,VIC,0.4,2,1
466,NSW,0.1,0,0
467,QLD,0.8,1,2
468,QLD,0.7,1,2
469,VIC,0.5,2,1
470,QLD,0.2,1,2
471,NSW,0.4,0,0
472,NSW,0.2,0,0
473,NSW,0.6,0,0
474,QLD,0.9,1,2
475,NSW,1.0,0,0
476,VIC,0.5,2,1
477,NSW,0.7,0,0
478,NSW,0.6,0,0
479,VIC,0.4,2,1
480,NSW,0.3,0,0
481,NSW,0.3,0,0
482,QLD,0.7,1,2
483,QLD,0.1,1,2
484,NSW,0.0,0,0
485,NSW,0.8,0,0
486,QLD,0.7,1,2
487,NSW,0.4,0,0
488,VIC,1.0,2,1
489,QLD,0.4,1,2
490,QLD,0.8,1,2
491,NSW,0.2,0,0
492,NSW,0.7,0,0
493,NSW,0.7,0,0
494,QLD,0.5,1,2
495,NSW,0.9,0,0
496,VIC,0.6,2,1
497,QLD,0.7,1,2
498,VIC,0.9,2,1
499,NSW,0.6,0,0
500,VIC,0.8,2,1
501,NSW,0.9,0,0
502,NSW,0.3,0,0
503,QLD,0.7,1,2
504,VIC,0.4,2,1
505,NSW,0.3,0,0
506,NSW,0.9,0,0
507,NSW,0.7,0,0
508,QLD,0.5,1,2
509,NSW,1.0,0,0
510,NSW,1.0,0,0
511,NSW,0.7,0,0
512,QLD,0.6,1,2
513,NSW,0.9,0,0
514,NSW,0.7,0,0
515,VIC,0.8,2,1
516,QLD,0.6,1,2
517,QLD,0.7,1,2
518,VIC,0.7,2,1
519,NSW,0.7,0,0
520,NSW,0.4,0,0
521,QLD,0.9,1,2
522,VIC,0.4,2,1
523,NSW,0.4,0,0
524,NSW,0.3,0,0
525,QLD,0.3,1,2
526,NSW,0.5,0,0
527,NSW,0.7,0,0
528,QLD,0.4,1,2
529,VIC,0.8,2,1
530,NSW,0.1,0,0
531,NSW,0.6,0,0
532,VIC,0.3,2,1
533,VIC,1.0,2,1
534,QLD,0.6,1,2
535,NSW,0.6,0,0
536,NSW,0.8,0,0
537,NSW,0.3,0,0
538,QLD,0.3,1,2
539,VIC,0.4,2,1
540,NSW,0.4,0,0
541,VIC,0.4,2,1
542,NSW,0.5,0,0
543,NSW,0.9,0,0
544,NSW,0.8,0,0
545,VIC,0.5,2,1
546,QLD,0.8,1,2
547,VIC,0.0,2,1
548,QLD,0.8,1,2
549,NSW,0.7,0,0
550,QLD,1.0,1,2
551,QLD,0.7,1,2
552,QLD,0.5,1,2
553,VIC,1.0,2,1
554,NSW,0.5,0,0
555,QLD,0.8,1,2
556,NSW,0.3,0,0
557,NSW,0.2,0,0
558,VIC,0.0,2,1
559,NSW,0.5,0,0
560,QLD,0.4,1,2
561,VIC,0.6,2,1
562,VIC,0.5,2,1
563,NSW,0.4,0,0
564,NSW,0.6,0,0
565,NSW,0.7,0,0
566,QLD,0.7,1,2
567,VIC,0.2,2,1
568,NSW,0.4,0,0
569,VIC,0.5,2,1
570,QLD,0.5,1,2
571,NSW,1.0,0,0
572,NSW,0.6,0,0
573,NSW,0.4,0,0
574,VIC,0.3,2,1
575,NSW,0.7,0,0
576,NSW,0.6,0,0
577,NSW,0.3,0,0
578,VIC,0.3,2,1
579,NSW,0.4,0,0
580,NSW,0.1,0,0
581,NSW,0.0,0,0
582,QLD,0.7,1,2
583,NSW,0.7,0,0
584,NSW,0.1,0,0
585,NSW,0.4,0,0
586,QLD,0.8,1,2
587,NSW,0.4,0,0
588,NSW,0.0,0,0
589,NSW,0.3,0,0
590,VIC,0.9,2,1
591,NSW,0.7,0,0
592,NSW,0.8,0,0
593,NSW,0.6,0,0
594,QLD,0.4,1,2
595,NSW,0.7,0,0
596,NSW,0.9,0,0
597,NSW,0.9,0,0
598,QLD,0.7,1,2
599,NSW,0.5,0,0
600,NSW,0.4,0,0
601,VIC,0.3,2,1
602,QLD,0.6,1,2
603,QLD,0.6,1,2
604,NSW,0.2,0,0
605,NSW,0.3,0,0
606,VIC,1.0,2,1
607,QLD,0.1,1,2
608,NSW,0.7,0,0
609,NSW,0.5,0,0
610,QLD,0.8,1,2
611,QLD,0.6,1,2
612,VIC,0.6,2,1
613,VIC,1.0,2,1
614,NSW,0.4,0,0
615,NSW,0.7,0,0
616,VIC,0.8,2,1
617,QLD,0.8,1,2
618,NSW,0.8,0,0
619,QLD,0.8,1,2
620,NSW,0.6,0,0
621,NSW,0.5,0,0
622,NSW,0.5,0,0
623,VIC,0.7,2,1
624,VIC,0.5,2,1
625,NSW,0.5,0,0
626,VIC,0.3,2,1
627,NSW,0.5,0,0
628,NSW,0.2,0,0
629,VIC,0.1,2,1
630,NSW,0.5,0,0
631,NSW,0.8,0,0
632,NSW,0.6,0,0
633,NSW,0.2,0,0
634,NSW,0.9,0,0
635,VIC,0.6,2,1
636,QLD,0.3,1,2
637,NSW,0.5,0,0
638,QLD,0.6,1,2
639,VIC,1.0,2,1
640,NSW,0.4,0,0
641,NSW,0.1,0,0
642,VIC,0.4,2,1
643,VIC,0.6,2,1
644,NSW,0.0,0,0
645,NSW,0.6,0,0
646,QLD,0.5,1,2
647,VIC,0.5,2,1
648,QLD,0.6,1,2
649,VIC,0.3,2,1
650,VIC,1.0,2,1
651,QLD,0.4,1,2
652,VIC,0.1,2,1
653,VIC,0.7,2,1
654,VIC,0.4,2,1
655,NSW,0.1,0,0
656,NSW,0.8,0,0
657,VIC,0.8,2,1
658,NSW,0.7,0,0
659,QLD,0.7,1,2
660,NSW,0.6,0,0
661,VIC,1.0,2,1
662,NSW,0.1,0,0
663,NSW,0.7,0,0
664,NSW,0.7,0,0
665,NSW,0.3,0,0
666,VIC,0.8,2,1
667,VIC,0.6,2,1
668,NSW,0.1,0,0
669,NSW,0.7,0,0
670,VIC,0.5,2,1
671,NSW,0.9,0,0
672,NSW,0.9,0,0
673,NSW,0.7,0,0
674,VIC,0.3,2,1
675,QLD,0.7,1,2
676,NSW,1.0,0,0
677,VIC,0.4,2,1
678,VIC,0.9,2,1
679,VIC,0.6,2,1
680,VIC,0.4,2,1
681,QLD,0.6,1,2
682,VIC,0.3,2,1
683,QLD,0.8,1,2
684,VIC,0.7,2,1
685,NSW,0.4,0,0
686,NSW,0.6,0,0
687,NSW,0.7,0,0
688,VIC,1.0,2,1
689,VIC,0.7,2,1
690,QLD,1.0,1,2
691,NSW,0.3,0,0
692,NSW,0.9,0,0
693,NSW,0.9,0,0
694,VIC,0.5,2,1
695,NSW,0.7,0,0
696,NSW,0.3,0,0
697,NSW,0.3,0,0
698,VIC,0.5,2,1
699,NSW,0.6,0,0
700,NSW,0.1,0,0
701,NSW,0.6,0,0
702,NSW,0.8,0,0
703,NSW,0.7,0,0
704,NSW,0.5,0,0
705,QLD,0.8,1,2
706,VIC,0.4,2,1
707,NSW,0.4,0,0
708,VIC,0.6,2,1
709,NSW,0.1,0,0
710,NSW,0.8,0,0
711,QLD,0.6,1,2
712,VIC,0.7,2,1
713,VIC,0.3,2,1
714,NSW,0.3,0,0
715,VIC,0.8,2,1
716,NSW,0.4,0,0
717,QLD,0.7,1,2
718,NSW,0.9,0,0
719,VIC,0.6,2,1
720,NSW,0.9,0,0
721,VIC,0.4,2,1
722,NSW,0.7,0,0
723,NSW,1.0,0,0
724,QLD,0.9,1,2
725,NSW,0.8,0,0
726,NSW,0.0,0,0
727,VIC,0.6,2,1
728,VIC,0.3,2,1
729,VIC,0.2,2,1
730,QLD,0.7,1,2
731,NSW,0.4,0,0
732,NSW,0.7,0,0
733,VIC,0.4,2,1
734,VIC,0.4,2,1
735,QLD,0.6,1,2
736,QLD,0.7,1,2
737,VIC,0.5,2,1
738,NSW,0.8,0,0
739,VIC,0.4,2,1
740,VIC,0.0,2,1
741,QLD,0.7,1,2
742,NSW,0.5,0,0
743,NSW,0.4,0,0
744,VIC,0.3,2,1
745,NSW,0.5,0,0
746,VIC,1.0,2,1
747,VIC,0.7,2,1
748,NSW,0.6,0,0
749,NSW,0.2,0,0
750,VIC,0.4,2,1
751,NSW,0.4,0,0
752,VIC,0.3,2,1
753,VIC,0.1,2,1
754,NSW,0.4,0,0
755,NSW,0.7,0,0
756,NSW,0.7,0,0
757,NSW,0.3,0,0
758,NSW,0.5,0,0
759,NSW,0.5,0,0
760,NSW,0.8,0,0
761,NSW,0.8,0,0
762,VIC,0.3,2,1
763,NSW,0.4,0,0
764,NSW,0.3,0,0
765,QLD,0.3,1,2
766,NSW,0.4,0,0
767,NSW,0.5,0,0
768,QLD,0.6,1,2
769,VIC,0.6,2,1
770,QLD,0.3,1,2
771,QLD,0.8,1,2
772,NSW,0.1,0,0
773,NSW,0.9,0,0
774,NSW,0.1,0,0
775,NSW,0.5,0,0
776,VIC,0.5,2,1
777,NSW,0.3,0,0
778,QLD,0.6,1,2
779,VIC,0.7,2,1
780,QLD,0.0,1,2
781,VIC,0.7,2,1
782,QLD,0.0,1,2
783,QLD,0.4,1,2
784,NSW,0.8,0,0
785,VIC,0.6,2,1
786,VIC,0.3,2,1
787,VIC,0.2,2,1
788,QLD,0.7,1,2
789,NSW,0.4,0,0
790,QLD,0.2,1,2
791,NSW,0.5,0,0
792,QLD,0.9,1,2
793,VIC,0.5,2,1
794,NSW,0.2,0,0
795,VIC,0.9,2,1
796,NSW,0.7,0,0
797,VIC,0.8,2,1
798,VIC,0.3,2,1
799,NSW,0.4,0,0
800,QLD,0.4,1,2
801,QLD,0.2,1,2
802,NSW,0.9,0,0
803,VIC,0.8,2,1
804,VIC,0.5,2,1
805,NSW,0.6,0,0
806,NSW,0.6,0,0
807,QLD,0.3,1,2
808,NSW,0.9,0,0
809,VIC,0.1,2,1
810,QLD,0.6,1,2
811,NSW,0.2,0,0
812,QLD,0.7,1,2
813,NSW,0.7,0,0
814,NSW,0.5,0,0
815,NSW,0.6,0,0
816,VIC,0.4,2,1
817,QLD,0.6,1,2
818,NSW,0.9,0,0
819,VIC,0.8,2,1
820,VIC,0.6,2,1
821,NSW,0.6,0,0
822,VIC,0.8,2,1
823,VIC,0.6,2,1
824,VIC,0.8,2,1
825,NSW,0.2,0,0
826,NSW,0.9,0,0
827,QLD,0.4,1,2
828,VIC,0.9,2,1
829,NSW,0.8,0,0
830,NSW,0.9,0,0
831,NSW,0.4,0,0
832,QLD,0.8,1,2
833,VIC,1.0,2,1
834,QLD,0.3,1,2
835,NSW,0.7,0,0
836,QLD,0.9,1,2
837,VIC,0.9,2,1
838,NSW,0.7,0,0
839,NSW,0.5,0,0
840,NSW,0.5,0,0
841,NSW,1.0,0,0
842,NSW,0.9,0,0
843,QLD,0.8,1,2
844,NSW,0.8,0,0
845,VIC,0.4,2,1
846,NSW,0.8,0,0
847,VIC,0.9,2,1
848,VIC,0.7,2,1
849,NSW,0.7,0,0
850,QLD,0.3,1,2
851,QLD,0.6,1,2
852,NSW,0.4,0,0
853,NSW,0.9,0,0
854,NSW,0.9,0,0
855,NSW,0.3,0,0
856,NSW,0.5,0,0
857,NSW,0.5,0,0
858,NSW,0.9,0,0
859,NSW,0.1,0,0
860,VIC,1.0,2,1
861,QLD,0.4,1,2
862,NSW,0.9,0,0
863,NSW,0.2,0,0
864,NSW,0.7,0,0
865,NSW,0.7,0,0
866,NSW,0.9,0,0
867,NSW,0.9,0,0
868,NSW,0.5,0,0
869,NSW,0.4,0,0
870,VIC,0.6,2,1
871,VIC,0.7,2,1
872,NSW,0.4,0,0
873,NSW,0.1,0,0
874,NSW,0.6,0,0
875,NSW,0.3,0,0
876,NSW,1.0,0,0
877,VIC,0.1,2,1
878,VIC,0.5,2,1
879,NSW,0.6,0,0
880,VIC,0.5,2,1
881,VIC,0.3,2,1
882,NSW,0.7,0,0
883,NSW,0.7,0,0
884,NSW,0.3,0,0
885,QLD,0.2,1,2
886,VIC,0.1,2,1
887,VIC,0.5,2,1
888,VIC,0.4,2,1
889,NSW,0.9,0,0
890,NSW,0.4,0,0
891,NSW,0.4,0,0
892,NSW,0.6,0,0
893,NSW,0.4,0,0
894,QLD,0.2,1,2
895,NSW,0.9,0,0
896,NSW,0.2,0,0
897,NSW,0.8,0,0
898,NSW,0.6,0,0
899,QLD,0.7,1,2
900,NSW,0.9,0,0
901,QLD,0.6,1,2
902,NSW,0.5,0,0
903,QLD,0.4,1,2
904,VIC,0.4,2,1
905,NSW,0.9,0,0
906,QLD,0.2,1,2
907,QLD,0.4,1,2
908,NSW,0.6,0,0
909,NSW,0.4,0,0
910,VIC,0.7,2,1
911,QLD,0.7,1,2
912,QLD,0.3,1,2
913,NSW,0.6,0,0
914,VIC,0.1,2,1
915,QLD,0.4,1,2
916,VIC,0.5,2,1
917,VIC,0.7,2,1
918,NSW,0.6,0,0
919,VIC,0.3,2,1
920,NSW,0.5,0,0
921,VIC,0.3,2,1
922,NSW,0.3,0,0
923,VIC,0.6,2,1
924,VIC,0.4,2,1
925,NSW,0.3,0,0
926,NSW,0.6,0,0
927,NSW,0.0,0,0
928,QLD,0.4,1,2
929,QLD,0.6,1,2
930,VIC,0.3,2,1
931,NSW,0.5,0,0
932,VIC,0.5,2,1
933,NSW,0.3,0,0
934,VIC,0.6,2,1
935,NSW,0.6,0,0
936,NSW,0.7,0,0
937,NSW,0.3,0,0
938,NSW,1.0,0,0
939,NSW,0.7,0,0
940,NSW,0.5,0,0
941,NSW,0.7,0,0
942,QLD,0.6,1,2
943,VIC,0.6,2,1
944,VIC,0.0,2,1
945,NSW,0.4,0,0
946,NSW,0.7,0,0
947,VIC,0.5,2,1
948,NSW,0.2,0,0
949,VIC,0.5,2,1
950,NSW,0.3,0,0
951,NSW,0.4,0,0
952,VIC,0.3,2,1
953,VIC,0.4,2,1
954,NSW,0.2,0,0
955,QLD,0.9,1,2
956,NSW,0.7,0,0
957,NSW,0.4,0,0
958,VIC,0.9,2,1
959,VIC,0.4,2,1
960,QLD,0.3,1,2
961,QLD,0.7,1,2
962,NSW,0.4,0,0
963,NSW,0.7,0,0
964,NSW,0.7,0,0
965,VIC,0.8,2,1
966,NSW,0.9,0,0
967,NSW,0.3,0,0
968,VIC,0.3,2,1
969,NSW,0.7,0,0
970,NSW,0.6,0,0
971,QLD,0.8,1,2
972,VIC,1.0,2,1
973,QLD,0.6,1,2
974,NSW,0.9,0,0
975,QLD,0.8,1,2
976,QLD,0.3,1,2
977,NSW,0.6,0,0
978,QLD,0.0,1,2
979,NSW,0.9,0,0
980,VIC,0.6,2,1
981,VIC,0.6,2,1
982,QLD,0.6,1,2
983,QLD,0.8,1,2
984,NSW,0.3,0,0
985,VIC,0.3,2,1
986,NSW,0.7,0,0
987,NSW,0.5,0,0
988,VIC,0.8,2,1
989,QLD,0.6,1,2
990,QLD,0.4,1,2
991,NSW,0.7,0,0
992,VIC,0.3,2,1
993,VIC,0.7,2,1
994,NSW,0.6,0,0
995,NSW,0.9,0,0
996,NSW,0.7,0,0
