,age,RFM_Score ,cluster,age_cluster_label
83,42,0.7,0,Young Adults
84,44,0.3,0,Young Adults
85,56,0.2,2,Seniors
86,54,0.1,2,Seniors
87,44,0.4,0,Young Adults
88,23,0.4,1,Middle-Aged
89,45,0.1,0,Young Adults
90,49,0.6,0,Young Adults
91,42,0.8,0,Young Adults
92,51,1.0,0,Young Adults
93,59,0.9,2,Seniors
94,58,0.4,2,Seniors
95,46,0.3,0,Young Adults
96,64,0.9,2,Seniors
97,55,0.8,2,Seniors
98,49,0.9,0,Young Adults
99,56,0.4,2,Seniors
100,63,1.0,2,Seniors
101,59,0.4,2,Seniors
102,32,0.6,1,Middle-Aged
103,67,0.6,2,Seniors
104,45,0.6,0,Young Adults
105,62,1.0,2,Seniors
106,41,0.5,0,Young Adults
107,63,0.4,2,Seniors
108,56,0.7,2,Seniors
109,23,0.8,1,Middle-Aged
110,29,1.0,1,Middle-Aged
111,50,0.7,0,Young Adults
112,69,0.6,2,Seniors
113,43,0.1,0,Young Adults
114,51,0.3,0,Young Adults
115,51,0.8,0,Young Adults
116,63,1.0,2,Seniors
117,47,0.4,0,Young Adults
118,64,0.5,2,Seniors
119,24,0.6,1,Middle-Aged
120,44,0.7,0,Young Adults
121,43,0.8,0,Young Adults
122,36,0.4,1,Middle-Aged
123,31,0.0,1,Middle-Aged
124,42,0.3,0,Young Adults
125,66,0.7,2,Seniors
126,46,0.4,0,Young Adults
127,55,0.4,2,Seniors
128,46,0.9,0,Young Adults
129,68,0.3,2,Seniors
130,55,0.7,2,Seniors
131,64,0.6,2,Seniors
132,64,0.6,2,Seniors
133,48,0.0,0,Young Adults
134,44,0.1,0,Young Adults
135,30,0.4,1,Middle-Aged
136,65,0.5,2,Seniors
137,46,0.3,0,Young Adults
138,69,0.1,2,Seniors
139,29,0.4,1,Middle-Aged
140,26,0.4,1,Middle-Aged
141,64,0.6,2,Seniors
142,54,0.1,2,Seniors
143,59,0.4,2,Seniors
144,44,0.5,0,Young Adults
145,44,0.7,0,Young Adults
146,44,0.6,0,Young Adults
147,33,0.9,1,Middle-Aged
148,35,0.9,1,Middle-Aged
149,62,0.4,2,Seniors
150,49,0.8,0,Young Adults
151,49,0.8,0,Young Adults
152,23,0.7,1,Middle-Aged
153,32,0.7,1,Middle-Aged
154,42,0.4,0,Young Adults
155,61,0.7,2,Seniors
156,44,0.7,0,Young Adults
157,37,1.0,1,Middle-Aged
158,66,0.5,2,Seniors
159,56,0.6,2,Seniors
160,59,0.3,2,Seniors
161,63,0.4,2,Seniors
162,42,0.5,0,Young Adults
163,54,0.7,2,Seniors
164,60,0.9,2,Seniors
165,68,0.7,2,Seniors
166,45,0.4,0,Young Adults
167,69,0.6,2,Seniors
168,49,0.6,0,Young Adults
169,43,0.1,0,Young Adults
170,44,0.6,0,Young Adults
171,23,0.4,1,Middle-Aged
172,47,0.4,0,Young Adults
173,34,0.2,1,Middle-Aged
174,42,0.7,0,Young Adults
175,44,0.7,0,Young Adults
176,29,0.5,1,Middle-Aged
177,56,1.0,2,Seniors
178,69,0.6,2,Seniors
179,45,0.7,0,Young Adults
180,27,0.7,1,Middle-Aged
181,26,0.3,1,Middle-Aged
182,50,0.3,0,Young Adults
183,43,0.8,0,Young Adults
184,56,0.4,2,Seniors
185,51,0.2,0,Young Adults
186,23,0.0,1,Middle-Aged
187,25,0.3,1,Middle-Aged
188,67,0.6,2,Seniors
189,36,0.5,1,Middle-Aged
190,46,0.6,0,Young Adults
191,44,0.0,0,Young Adults
192,62,0.6,2,Seniors
193,45,0.1,0,Young Adults
194,23,0.6,1,Middle-Aged
195,56,1.0,2,Seniors
196,49,0.9,0,Young Adults
197,34,0.7,1,Middle-Aged
198,47,0.2,0,Young Adults
199,24,0.2,1,Middle-Aged
200,68,0.4,2,Seniors
201,61,0.7,2,Seniors
202,45,0.4,0,Young Adults
203,48,0.6,0,Young Adults
204,24,0.8,1,Middle-Aged
205,50,0.5,0,Young Adults
206,46,0.0,0,Young Adults
207,45,0.2,0,Young Adults
208,46,0.6,0,Young Adults
209,49,0.6,0,Young Adults
210,44,0.1,0,Young Adults
211,68,0.6,2,Seniors
212,56,0.8,2,Seniors
213,30,0.9,1,Middle-Aged
214,43,0.3,0,Young Adults
215,46,0.7,0,Young Adults
216,45,0.7,0,Young Adults
217,45,0.0,0,Young Adults
218,55,0.0,2,Seniors
219,49,0.8,0,Young Adults
220,61,0.5,2,Seniors
221,52,0.4,0,Young Adults
222,68,1.0,2,Seniors
223,41,0.5,0,Young Adults
224,36,0.7,1,Middle-Aged
225,61,0.8,2,Seniors
226,56,0.6,2,Seniors
227,46,0.4,0,Young Adults
228,48,0.6,0,Young Adults
229,69,0.7,2,Seniors
230,38,0.8,1,Middle-Aged
231,45,0.3,0,Young Adults
232,45,0.8,0,Young Adults
233,43,0.1,0,Young Adults
234,36,0.9,1,Middle-Aged
235,29,0.5,1,Middle-Aged
236,36,0.4,1,Middle-Aged
237,26,0.4,1,Middle-Aged
238,64,0.4,2,Seniors
239,45,0.4,0,Young Adults
240,46,0.5,0,Young Adults
241,41,0.8,0,Young Adults
242,68,0.6,2,Seniors
243,44,0.6,0,Young Adults
244,58,0.0,2,Seniors
245,37,0.6,1,Middle-Aged
246,46,0.7,0,Young Adults
247,49,0.5,0,Young Adults
248,69,0.4,2,Seniors
249,35,0.7,1,Middle-Aged
250,28,0.9,1,Middle-Aged
251,58,0.7,2,Seniors
252,56,0.1,2,Seniors
253,48,0.4,0,Young Adults
254,48,0.3,0,Young Adults
255,57,0.7,2,Seniors
256,30,0.6,1,Middle-Aged
257,21,0.7,1,Middle-Aged
258,66,0.4,2,Seniors
259,48,0.5,0,Young Adults
260,50,0.0,0,Young Adults
261,36,0.7,1,Middle-Aged
262,45,0.9,0,Young Adults
263,22,0.8,1,Middle-Aged
264,46,0.5,0,Young Adults
265,56,0.7,2,Seniors
266,39,0.4,0,Young Adults
267,58,0.9,2,Seniors
268,42,0.7,0,Young Adults
269,48,0.3,0,Young Adults
270,49,1.0,0,Young Adults
271,48,0.3,0,Young Adults
272,44,0.1,0,Young Adults
273,45,0.3,0,Young Adults
274,29,0.8,1,Middle-Aged
275,46,0.2,0,Young Adults
276,47,0.6,0,Young Adults
277,61,0.9,2,Seniors
278,42,0.8,0,Young Adults
279,24,0.7,1,Middle-Aged
280,33,0.6,1,Middle-Aged
281,91,0.9,2,Seniors
282,42,0.8,0,Young Adults
283,46,0.3,0,Young Adults
284,47,0.3,0,Young Adults
285,37,0.6,1,Middle-Aged
286,60,0.1,2,Seniors
287,64,0.6,2,Seniors
288,45,0.9,0,Young Adults
289,60,0.4,2,Seniors
290,28,0.9,1,Middle-Aged
291,36,0.6,1,Middle-Aged
292,29,0.2,1,Middle-Aged
293,23,0.5,1,Middle-Aged
294,49,1.0,0,Young Adults
295,50,0.7,0,Young Adults
296,45,0.7,0,Young Adults
297,65,0.3,2,Seniors
298,46,0.9,0,Young Adults
299,63,0.6,2,Seniors
300,28,0.6,1,Middle-Aged
301,64,0.9,2,Seniors
302,44,0.6,0,Young Adults
303,22,0.7,1,Middle-Aged
304,44,0.6,0,Young Adults
305,36,0.7,1,Middle-Aged
306,21,0.8,1,Middle-Aged
307,40,0.3,0,Young Adults
308,31,0.8,1,Middle-Aged
309,54,0.9,2,Seniors
310,48,0.8,0,Young Adults
311,48,0.4,0,Young Adults
312,59,0.6,2,Seniors
313,40,0.7,0,Young Adults
314,38,0.3,1,Middle-Aged
315,39,0.6,0,Young Adults
316,47,0.8,0,Young Adults
317,68,0.7,2,Seniors
318,51,0.6,0,Young Adults
319,38,0.8,1,Middle-Aged
320,39,0.5,0,Young Adults
321,66,0.8,2,Seniors
322,44,0.6,0,Young Adults
323,29,0.2,1,Middle-Aged
324,46,0.8,0,Young Adults
325,60,0.4,2,Seniors
326,56,0.5,2,Seniors
327,24,0.4,1,Middle-Aged
328,43,0.0,0,Young Adults
329,46,0.9,0,Young Adults
330,28,0.9,1,Middle-Aged
331,42,0.6,0,Young Adults
332,38,0.8,1,Middle-Aged
333,66,0.7,2,Seniors
334,27,0.5,1,Middle-Aged
335,41,0.5,0,Young Adults
336,35,0.5,1,Middle-Aged
337,63,0.6,2,Seniors
338,67,0.6,2,Seniors
339,36,0.8,1,Middle-Aged
340,31,0.8,1,Middle-Aged
341,27,0.9,1,Middle-Aged
342,62,0.5,2,Seniors
343,22,0.8,1,Middle-Aged
344,56,0.0,2,Seniors
345,37,0.8,1,Middle-Aged
346,47,0.2,0,Young Adults
347,46,0.9,0,Young Adults
348,66,0.6,2,Seniors
349,37,0.7,1,Middle-Aged
350,42,0.5,0,Young Adults
351,59,0.1,2,Seniors
352,55,0.9,2,Seniors
353,36,0.4,1,Middle-Aged
354,50,0.3,0,Young Adults
355,26,0.2,1,Middle-Aged
356,35,0.9,1,Middle-Aged
357,42,0.9,0,Young Adults
358,28,0.5,1,Middle-Aged
359,36,0.7,1,Middle-Aged
360,47,0.3,0,Young Adults
361,29,0.3,1,Middle-Aged
362,52,0.7,0,Young Adults
363,50,0.3,0,Young Adults
364,61,0.5,2,Seniors
365,32,0.8,1,Middle-Aged
366,45,0.7,0,Young Adults
367,62,1.0,2,Seniors
368,41,0.4,0,Young Adults
369,50,0.6,0,Young Adults
370,46,0.8,0,Young Adults
371,58,0.6,2,Seniors
372,29,0.7,1,Middle-Aged
373,49,0.5,0,Young Adults
374,64,0.9,2,Seniors
375,48,0.1,0,Young Adults
376,25,0.5,1,Middle-Aged
377,45,0.9,0,Young Adults
378,25,0.6,1,Middle-Aged
379,33,0.1,1,Middle-Aged
380,49,0.8,0,Young Adults
381,40,0.4,0,Young Adults
382,47,0.6,0,Young Adults
383,35,1.0,1,Middle-Aged
384,46,0.6,0,Young Adults
385,46,0.9,0,Young Adults
386,47,0.6,0,Young Adults
387,45,0.9,0,Young Adults
388,63,0.6,2,Seniors
389,27,0.6,1,Middle-Aged
390,46,0.6,0,Young Adults
391,49,0.4,0,Young Adults
392,65,0.6,2,Seniors
393,44,0.5,0,Young Adults
394,33,0.7,1,Middle-Aged
395,60,0.7,2,Seniors
396,55,0.5,2,Seniors
397,34,0.7,1,Middle-Aged
398,45,0.5,0,Young Adults
399,55,0.3,2,Seniors
400,29,0.5,1,Middle-Aged
401,25,0.3,1,Middle-Aged
402,27,0.6,1,Middle-Aged
403,28,0.1,1,Middle-Aged
404,37,0.3,1,Middle-Aged
405,60,0.1,2,Seniors
406,34,0.3,1,Middle-Aged
407,23,0.9,1,Middle-Aged
408,47,0.4,0,Young Adults
409,59,0.8,2,Seniors
410,47,0.1,0,Young Adults
411,37,0.3,1,Middle-Aged
412,36,0.6,1,Middle-Aged
413,38,0.7,1,Middle-Aged
414,59,0.6,2,Seniors
415,50,0.5,0,Young Adults
416,45,0.1,0,Young Adults
417,46,0.4,0,Young Adults
418,38,0.8,1,Middle-Aged
419,52,0.9,0,Young Adults
420,61,0.8,2,Seniors
421,68,0.6,2,Seniors
422,64,1.0,2,Seniors
423,38,0.6,1,Middle-Aged
424,37,0.7,1,Middle-Aged
425,49,0.6,0,Young Adults
426,37,0.4,1,Middle-Aged
427,21,0.4,1,Middle-Aged
428,59,0.9,2,Seniors
429,60,0.4,2,Seniors
430,46,0.3,0,Young Adults
431,27,0.8,1,Middle-Aged
432,64,0.4,2,Seniors
433,27,0.3,1,Middle-Aged
434,58,0.6,2,Seniors
435,37,0.3,1,Middle-Aged
436,48,0.6,0,Young Adults
437,34,0.5,1,Middle-Aged
438,45,0.3,0,Young Adults
439,65,0.7,2,Seniors
440,68,0.3,2,Seniors
441,27,0.5,1,Middle-Aged
442,55,1.0,2,Seniors
443,31,0.1,1,Middle-Aged
444,54,0.9,2,Seniors
445,37,0.4,1,Middle-Aged
446,55,0.9,2,Seniors
447,63,1.0,2,Seniors
448,69,0.0,2,Seniors
449,44,0.9,0,Young Adults
450,60,0.7,2,Seniors
451,26,0.4,1,Middle-Aged
452,65,0.3,2,Seniors
453,42,1.0,0,Young Adults
454,48,0.6,0,Young Adults
455,45,0.8,0,Young Adults
456,36,0.4,1,Middle-Aged
457,49,0.7,0,Young Adults
458,45,0.5,0,Young Adults
459,30,0.7,1,Middle-Aged
460,36,0.1,1,Middle-Aged
461,33,0.9,1,Middle-Aged
462,45,0.9,0,Young Adults
463,33,0.2,1,Middle-Aged
464,64,0.3,2,Seniors
465,66,0.4,2,Seniors
466,24,0.1,1,Middle-Aged
467,42,0.8,0,Young Adults
468,41,0.7,0,Young Adults
469,49,0.5,0,Young Adults
470,35,0.2,1,Middle-Aged
471,26,0.4,1,Middle-Aged
472,46,0.2,0,Young Adults
473,30,0.6,1,Middle-Aged
474,44,0.9,0,Young Adults
475,45,1.0,0,Young Adults
476,47,0.5,0,Young Adults
477,46,0.7,0,Young Adults
478,69,0.6,2,Seniors
479,36,0.4,1,Middle-Aged
480,26,0.3,1,Middle-Aged
481,25,0.3,1,Middle-Aged
482,46,0.7,0,Young Adults
483,47,0.1,0,Young Adults
484,44,0.0,0,Young Adults
485,46,0.8,0,Young Adults
486,44,0.7,0,Young Adults
487,67,0.4,2,Seniors
488,54,1.0,2,Seniors
489,48,0.4,0,Young Adults
490,42,0.8,0,Young Adults
491,46,0.2,0,Young Adults
492,53,0.7,0,Young Adults
493,48,0.7,0,Young Adults
494,37,0.5,1,Middle-Aged
495,51,0.9,0,Young Adults
496,67,0.6,2,Seniors
497,45,0.7,0,Young Adults
498,38,0.9,1,Middle-Aged
499,61,0.6,2,Seniors
500,69,0.8,2,Seniors
501,25,0.9,1,Middle-Aged
502,26,0.3,1,Middle-Aged
503,36,0.7,1,Middle-Aged
504,64,0.4,2,Seniors
505,53,0.3,0,Young Adults
506,44,0.9,0,Young Adults
507,34,0.7,1,Middle-Aged
508,41,0.5,0,Young Adults
509,42,1.0,0,Young Adults
510,29,1.0,1,Middle-Aged
511,45,0.7,0,Young Adults
512,48,0.6,0,Young Adults
513,38,0.9,1,Middle-Aged
514,49,0.7,0,Young Adults
515,63,0.8,2,Seniors
516,43,0.6,0,Young Adults
517,42,0.7,0,Young Adults
518,46,0.7,0,Young Adults
519,51,0.7,0,Young Adults
520,31,0.4,1,Middle-Aged
521,24,0.9,1,Middle-Aged
522,39,0.4,0,Young Adults
523,43,0.4,0,Young Adults
524,68,0.3,2,Seniors
525,56,0.3,2,Seniors
526,55,0.5,2,Seniors
527,32,0.7,1,Middle-Aged
528,32,0.4,1,Middle-Aged
529,61,0.8,2,Seniors
530,44,0.1,0,Young Adults
531,29,0.6,1,Middle-Aged
532,68,0.3,2,Seniors
533,49,1.0,0,Young Adults
534,49,0.6,0,Young Adults
535,24,0.6,1,Middle-Aged
536,24,0.8,1,Middle-Aged
537,25,0.3,1,Middle-Aged
538,67,0.3,2,Seniors
539,32,0.4,1,Middle-Aged
540,62,0.4,2,Seniors
541,64,0.4,2,Seniors
542,48,0.5,0,Young Adults
543,60,0.9,2,Seniors
544,37,0.8,1,Middle-Aged
545,63,0.5,2,Seniors
546,43,0.8,0,Young Adults
547,28,0.0,1,Middle-Aged
548,57,0.8,2,Seniors
549,27,0.7,1,Middle-Aged
550,37,1.0,1,Middle-Aged
551,52,0.7,0,Young Adults
552,62,0.5,2,Seniors
553,36,1.0,1,Middle-Aged
554,61,0.5,2,Seniors
555,52,0.8,0,Young Adults
556,54,0.3,2,Seniors
557,67,0.2,2,Seniors
558,38,0.0,1,Middle-Aged
559,41,0.5,0,Young Adults
560,48,0.4,0,Young Adults
561,59,0.6,2,Seniors
562,26,0.5,1,Middle-Aged
563,42,0.4,0,Young Adults
564,33,0.6,1,Middle-Aged
565,45,0.7,0,Young Adults
566,55,0.7,2,Seniors
567,45,0.2,0,Young Adults
568,26,0.4,1,Middle-Aged
569,44,0.5,0,Young Adults
570,44,0.5,0,Young Adults
571,46,1.0,0,Young Adults
572,54,0.6,2,Seniors
573,45,0.4,0,Young Adults
574,66,0.3,2,Seniors
575,28,0.7,1,Middle-Aged
576,30,0.6,1,Middle-Aged
577,63,0.3,2,Seniors
578,23,0.3,1,Middle-Aged
579,69,0.4,2,Seniors
580,22,0.1,1,Middle-Aged
581,38,0.0,1,Middle-Aged
582,42,0.7,0,Young Adults
583,63,0.7,2,Seniors
584,45,0.1,0,Young Adults
585,54,0.4,2,Seniors
586,64,0.8,2,Seniors
587,49,0.4,0,Young Adults
588,41,0.0,0,Young Adults
589,48,0.3,0,Young Adults
590,41,0.9,0,Young Adults
591,31,0.7,1,Middle-Aged
592,53,0.8,0,Young Adults
593,40,0.6,0,Young Adults
594,49,0.4,0,Young Adults
595,30,0.7,1,Middle-Aged
596,43,0.9,0,Young Adults
597,48,0.9,0,Young Adults
598,46,0.7,0,Young Adults
599,43,0.5,0,Young Adults
600,62,0.4,2,Seniors
601,68,0.3,2,Seniors
602,50,0.6,0,Young Adults
603,40,0.6,0,Young Adults
604,69,0.2,2,Seniors
605,48,0.3,0,Young Adults
606,25,1.0,1,Middle-Aged
607,46,0.1,0,Young Adults
608,42,0.7,0,Young Adults
609,61,0.5,2,Seniors
610,59,0.8,2,Seniors
611,47,0.6,0,Young Adults
612,36,0.6,1,Middle-Aged
613,33,1.0,1,Middle-Aged
614,38,0.4,1,Middle-Aged
615,55,0.7,2,Seniors
616,65,0.8,2,Seniors
617,38,0.8,1,Middle-Aged
618,25,0.8,1,Middle-Aged
619,45,0.8,0,Young Adults
620,46,0.6,0,Young Adults
621,47,0.5,0,Young Adults
622,29,0.5,1,Middle-Aged
623,61,0.7,2,Seniors
624,69,0.5,2,Seniors
625,44,0.5,0,Young Adults
626,54,0.3,2,Seniors
627,49,0.5,0,Young Adults
628,52,0.2,0,Young Adults
629,45,0.1,0,Young Adults
630,25,0.5,1,Middle-Aged
631,30,0.8,1,Middle-Aged
632,47,0.6,0,Young Adults
633,66,0.2,2,Seniors
634,43,0.9,0,Young Adults
635,49,0.6,0,Young Adults
636,24,0.3,1,Middle-Aged
637,61,0.5,2,Seniors
638,35,0.6,1,Middle-Aged
639,49,1.0,0,Young Adults
640,30,0.4,1,Middle-Aged
641,24,0.1,1,Middle-Aged
642,47,0.4,0,Young Adults
643,44,0.6,0,Young Adults
644,42,0.0,0,Young Adults
645,37,0.6,1,Middle-Aged
646,37,0.5,1,Middle-Aged
647,35,0.5,1,Middle-Aged
648,40,0.6,0,Young Adults
649,58,0.3,2,Seniors
650,45,1.0,0,Young Adults
651,31,0.4,1,Middle-Aged
652,47,0.1,0,Young Adults
653,45,0.7,0,Young Adults
654,47,0.4,0,Young Adults
655,45,0.1,0,Young Adults
656,34,0.8,1,Middle-Aged
657,37,0.8,1,Middle-Aged
658,36,0.7,1,Middle-Aged
659,36,0.7,1,Middle-Aged
660,49,0.6,0,Young Adults
661,49,1.0,0,Young Adults
662,45,0.1,0,Young Adults
663,45,0.7,0,Young Adults
664,51,0.7,0,Young Adults
665,37,0.3,1,Middle-Aged
666,62,0.8,2,Seniors
667,68,0.6,2,Seniors
668,53,0.1,0,Young Adults
669,45,0.7,0,Young Adults
670,56,0.5,2,Seniors
671,48,0.9,0,Young Adults
672,32,0.9,1,Middle-Aged
673,42,0.7,0,Young Adults
674,57,0.3,2,Seniors
675,41,0.7,0,Young Adults
676,49,1.0,0,Young Adults
677,64,0.4,2,Seniors
678,24,0.9,1,Middle-Aged
679,56,0.6,2,Seniors
680,64,0.4,2,Seniors
681,45,0.6,0,Young Adults
682,61,0.3,2,Seniors
683,64,0.8,2,Seniors
684,63,0.7,2,Seniors
685,45,0.4,0,Young Adults
686,37,0.6,1,Middle-Aged
687,42,0.7,0,Young Adults
688,26,1.0,1,Middle-Aged
689,31,0.7,1,Middle-Aged
690,26,1.0,1,Middle-Aged
691,64,0.3,2,Seniors
692,25,0.9,1,Middle-Aged
693,47,0.9,0,Young Adults
694,47,0.5,0,Young Adults
695,54,0.7,2,Seniors
696,39,0.3,0,Young Adults
697,44,0.3,0,Young Adults
698,48,0.5,0,Young Adults
699,40,0.6,0,Young Adults
700,59,0.1,2,Seniors
701,49,0.6,0,Young Adults
702,27,0.8,1,Middle-Aged
703,21,0.7,1,Middle-Aged
704,29,0.5,1,Middle-Aged
705,42,0.8,0,Young Adults
706,45,0.4,0,Young Adults
707,62,0.4,2,Seniors
708,35,0.6,1,Middle-Aged
709,69,0.1,2,Seniors
710,46,0.8,0,Young Adults
711,36,0.6,1,Middle-Aged
712,59,0.7,2,Seniors
713,21,0.3,1,Middle-Aged
714,49,0.3,0,Young Adults
715,29,0.8,1,Middle-Aged
716,69,0.4,2,Seniors
717,56,0.7,2,Seniors
718,45,0.9,0,Young Adults
719,28,0.6,1,Middle-Aged
720,45,0.9,0,Young Adults
721,51,0.4,0,Young Adults
722,39,0.7,0,Young Adults
723,46,1.0,0,Young Adults
724,57,0.9,2,Seniors
725,41,0.8,0,Young Adults
726,45,0.0,0,Young Adults
727,44,0.6,0,Young Adults
728,52,0.3,0,Young Adults
729,24,0.2,1,Middle-Aged
730,58,0.7,2,Seniors
731,59,0.4,2,Seniors
732,68,0.7,2,Seniors
733,24,0.4,1,Middle-Aged
734,60,0.4,2,Seniors
735,28,0.6,1,Middle-Aged
736,37,0.7,1,Middle-Aged
737,56,0.5,2,Seniors
738,27,0.8,1,Middle-Aged
739,23,0.4,1,Middle-Aged
740,55,0.0,2,Seniors
741,45,0.7,0,Young Adults
742,53,0.5,0,Young Adults
743,31,0.4,1,Middle-Aged
744,46,0.3,0,Young Adults
745,45,0.5,0,Young Adults
746,26,1.0,1,Middle-Aged
747,38,0.7,1,Middle-Aged
748,47,0.6,0,Young Adults
749,39,0.2,0,Young Adults
750,66,0.4,2,Seniors
751,44,0.4,0,Young Adults
752,42,0.3,0,Young Adults
753,33,0.1,1,Middle-Aged
754,42,0.4,0,Young Adults
755,27,0.7,1,Middle-Aged
756,63,0.7,2,Seniors
757,29,0.3,1,Middle-Aged
758,67,0.5,2,Seniors
759,50,0.5,0,Young Adults
760,47,0.8,0,Young Adults
761,45,0.8,0,Young Adults
762,21,0.3,1,Middle-Aged
763,37,0.4,1,Middle-Aged
764,53,0.3,0,Young Adults
765,57,0.3,2,Seniors
766,35,0.4,1,Middle-Aged
767,55,0.5,2,Seniors
768,68,0.6,2,Seniors
769,27,0.6,1,Middle-Aged
770,49,0.3,0,Young Adults
771,42,0.8,0,Young Adults
772,24,0.1,1,Middle-Aged
773,69,0.9,2,Seniors
774,29,0.1,1,Middle-Aged
775,61,0.5,2,Seniors
776,37,0.5,1,Middle-Aged
777,58,0.3,2,Seniors
778,55,0.6,2,Seniors
779,46,0.7,0,Young Adults
780,33,0.0,1,Middle-Aged
781,32,0.7,1,Middle-Aged
782,64,0.0,2,Seniors
783,43,0.4,0,Young Adults
784,45,0.8,0,Young Adults
785,45,0.6,0,Young Adults
786,66,0.3,2,Seniors
787,30,0.2,1,Middle-Aged
788,64,0.7,2,Seniors
789,68,0.4,2,Seniors
790,47,0.2,0,Young Adults
791,43,0.5,0,Young Adults
792,48,0.9,0,Young Adults
793,56,0.5,2,Seniors
794,46,0.2,0,Young Adults
795,53,0.9,0,Young Adults
796,28,0.7,1,Middle-Aged
797,64,0.8,2,Seniors
798,65,0.3,2,Seniors
799,48,0.4,0,Young Adults
800,26,0.4,1,Middle-Aged
801,28,0.2,1,Middle-Aged
802,36,0.9,1,Middle-Aged
803,36,0.8,1,Middle-Aged
804,53,0.5,0,Young Adults
805,60,0.6,2,Seniors
806,63,0.6,2,Seniors
807,50,0.3,0,Young Adults
808,39,0.9,0,Young Adults
809,48,0.1,0,Young Adults
810,35,0.6,1,Middle-Aged
811,32,0.2,1,Middle-Aged
812,46,0.7,0,Young Adults
813,26,0.7,1,Middle-Aged
814,46,0.5,0,Young Adults
815,64,0.6,2,Seniors
816,37,0.4,1,Middle-Aged
817,62,0.6,2,Seniors
818,35,0.9,1,Middle-Aged
819,41,0.8,0,Young Adults
820,23,0.6,1,Middle-Aged
821,29,0.6,1,Middle-Aged
822,65,0.8,2,Seniors
823,43,0.6,0,Young Adults
824,45,0.8,0,Young Adults
825,59,0.2,2,Seniors
826,34,0.9,1,Middle-Aged
827,51,0.4,0,Young Adults
828,45,0.9,0,Young Adults
829,26,0.8,1,Middle-Aged
830,33,0.9,1,Middle-Aged
831,56,0.4,2,Seniors
832,64,0.8,2,Seniors
833,54,1.0,2,Seniors
834,35,0.3,1,Middle-Aged
835,66,0.7,2,Seniors
836,49,0.9,0,Young Adults
837,45,0.9,0,Young Adults
838,45,0.7,0,Young Adults
839,45,0.5,0,Young Adults
840,24,0.5,1,Middle-Aged
841,45,1.0,0,Young Adults
842,21,0.9,1,Middle-Aged
843,31,0.8,1,Middle-Aged
844,44,0.8,0,Young Adults
845,37,0.4,1,Middle-Aged
846,30,0.8,1,Middle-Aged
847,54,0.9,2,Seniors
848,56,0.7,2,Seniors
849,56,0.7,2,Seniors
850,57,0.3,2,Seniors
851,47,0.6,0,Young Adults
852,40,0.4,0,Young Adults
853,44,0.9,0,Young Adults
